🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight dave positive_rate=0.860 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=dave
[Step 122] user:dave  loss: 0.669 grad: 3.281 pred: 1.191 reward:  5.81 eps:0.16 exploit regret:    - hn:0.512 hc:0.77 | forbes.com | Analytical Deep Dive | Microsoft Confirms Windows Is Under Attack — U
[Step 123] user:dave  loss: 6.627 grad:18.616 pred: 1.191 reward: 10.00 eps:0.16 exploit regret:    - hn:0.514 hc:0.77 | source_the_new_york_times | Analytical Deep Dive | We Had 44 Period and Incontinence Products Tes
[Step 124] user:dave  loss: 1.387 grad: 4.966 pred: 1.199 reward:  6.87 eps:0.16 exploit regret:    - hn:0.515 hc:0.77 | source_devdiscourse | Hype Beast | Security Forces Achieve Major Breakthrough: To
[Step 125] user:dave  loss: 4.367 grad:11.595 pred: 1.227 reward:  7.59 eps:0.16 explore regret:    - hn:0.522 hc:0.77 | source_australian_broadcasting_corporation | Hype Beast | Woolworths 'spying' on punters to boost profit
[Step 126] user:dave  loss: 3.948 grad: 9.086 pred: 1.304 reward:  7.74 eps:0.16 exploit regret:    - hn:0.538 hc:0.78 | source_financial_times | Hype Beast | Record $668mn loan boosts hopes for Miami’s lu
[Step 127] user:dave  loss: 6.982 grad:16.589 pred: 1.294 reward: 10.00 eps:0.15 exploit regret:    - hn:0.539 hc:0.78 | source_36_kr | Hype Beast | Can You Control Objects with Thoughts? New Bre
[Step 128] user:dave  loss: 1.407 grad: 3.646 pred: 1.343 reward:  5.80 eps:0.15 exploit regret:    - hn:0.550 hc:0.79 | source_the_quantum_insider | Analytical Deep Dive | Infleqtion Finalizes $6.2M ARPA-E Contract for
[Step 129] user:dave  loss: 4.018 grad: 9.618 pred: 1.322 reward: 10.00 eps:0.15 explore regret:    - hn:0.545 hc:0.79 | source_moment_energy | Hype Beast | Save energy, cut costs & boost grid stability 
[Step 130] user:dave  loss: 1.504 grad: 3.870 pred: 1.399 reward:  7.06 eps:0.15 exploit regret: 2.94 hn:0.564 hc:0.80 | source_espn | Hype Beast | Win-loss record ceilings, floors for all NFL t
[Step 131] user:dave  loss: 6.133 grad:12.654 pred: 1.436 reward: 10.00 eps:0.15 exploit regret:    - hn:0.569 hc:0.80 | source_financial_nigeria | Hype Beast | Finger millet genome breakthrough to help safe
[Step 132] user:dave  loss: 5.886 grad:11.734 pred: 1.481 reward: 10.00 eps:0.15 exploit regret:    - hn:0.579 hc:0.81 | source_daily_maverick | Hype Beast | Easter security boost: South Africa deploys dr
[Step 133] user:dave  loss: 8.462 grad:18.602 pred: 1.530 reward: 10.00 eps:0.15 exploit regret:    - hn:0.590 hc:0.82 | source_manufacturing_today_india | Hype Beast | Circular economy and India’s startups: Boostin
[Step 134] user:dave  loss: 3.223 grad: 4.150 pred: 1.690 reward:  7.85 eps:0.15 exploit regret:    - hn:0.624 hc:0.84 | source_pr_newswire | Hype Beast | Blackrock Neurotech's MoveAgain Brain-Computer
[Step 135] user:dave  loss: 3.205 grad: 4.321 pred: 1.693 reward:  7.91 eps:0.15 exploit regret:    - hn:0.629 hc:0.84 | source_yicai_global | Hype Beast | Chinese BCI Startup NeuroXess Hails Breakthrou
[Step 136] user:dave  loss: 3.080 grad: 3.610 pred: 1.795 reward:  7.51 eps:0.15 exploit regret:    - hn:0.646 hc:0.85 | transitcenter.org | Hype Beast | All Transportation is Local: Rewrite the Rules
[Step 137] user:dave  loss: 3.958 grad: 4.084 pred: 1.888 reward: 10.00 eps:0.15 exploit regret:    - hn:0.664 hc:0.86 | source_the_bridge_chronicle | Hype Beast | Elon Musk Claims "Full Body Functionality" Pos
[Step 138] user:dave  loss: 4.767 grad: 5.395 pred: 1.920 reward: 10.00 eps:0.15 exploit regret:    - hn:0.668 hc:0.87 | agtechnavigator.com | Hype Beast | Dyson Farming and KWS join Wild Bio in five‑ye
[Step 139] user:dave  loss: 3.087 grad: 3.519 pred: 1.929 reward:  7.48 eps:0.15 exploit regret:    - hn:0.675 hc:0.87 | source_protectionweb | Hype Beast | Drone technology boosts border security over f
[Step 140] user:dave  loss: 2.364 grad: 3.801 pred: 1.983 reward:  6.79 eps:0.15 exploit regret: 3.21 hn:0.684 hc:0.88 | source_pune_mirror | Hype Beast | Pune runner Shashwat Shukla sets new world rec
[Step 141] user:dave  loss: 3.160 grad: 2.974 pred: 2.027 reward:  7.79 eps:0.14 exploit regret:    - hn:0.687 hc:0.88 | source_forbes | Hype Beast | New Biopesticide Is A Breakthrough For Global 
[Step 142] user:dave  loss: 3.913 grad: 3.135 pred: 2.080 reward: 10.00 eps:0.14 exploit regret:    - hn:0.696 hc:0.88 | source_nairametrics | Hype Beast | Dangote Boosts Abuja Trade Fair - Nairametrics
[Step 143] user:dave  loss: 3.659 grad: 3.030 pred: 2.062 reward: 10.00 eps:0.14 exploit regret:    - hn:0.693 hc:0.88 | source_yahoo | Hype Beast | Researchers make major breakthrough that could
[Step 144] user:dave  loss: 4.373 grad: 4.029 pred: 2.062 reward: 10.00 eps:0.14 exploit regret:    - hn:0.697 hc:0.88 | grist.org | Hype Beast | Food safety breakthrough: USDA declares 'Big S
[Step 145] user:dave  loss: 4.939 grad: 4.119 pred: 2.115 reward: 10.00 eps:0.14 exploit regret:    - hn:0.707 hc:0.89 | source_the_world_economic_forum | Hype Beast | This CO2 ventilation breakthrough could help b
[Step 146] user:dave  loss: 3.100 grad: 2.806 pred: 2.133 reward:  7.54 eps:0.14 exploit regret:    - hn:0.707 hc:0.89 | source_the_guardian | Hype Beast | First recording of computer-generated music – 
[Step 147] user:dave  loss: 2.569 grad: 3.749 pred: 2.155 reward:  6.68 eps:0.14 exploit regret:    - hn:0.709 hc:0.89 | source_wired | Hype Beast | China is using coronavirus to boost its dystop
[Step 148] user:dave  loss: 3.746 grad: 2.822 pred: 2.161 reward: 10.00 eps:0.14 exploit regret:    - hn:0.716 hc:0.90 | source_money_saving_expert | Hype Beast | How to boost your Nectar points - Money Saving
[Step 149] user:dave  loss: 4.208 grad: 3.937 pred: 2.133 reward: 10.00 eps:0.14 exploit regret:    - hn:0.708 hc:0.89 | source_house_beautiful | Hype Beast | 5 Exterior Paint Colors That Can Dramatically 
[Step 150] user:dave  loss: 2.754 grad: 3.302 pred: 2.167 reward:  2.61 eps:0.14 exploit regret: 7.39 hn:0.715 hc:0.90 | source_the_arbiter_boise_state | Sarcastic Takedown | Reading between the lines: Elitism in the read
  └─ checkpoint step=150 rolling_reward_50=7.41 mean_regret_so_far=5.14
[Step 151] user:dave  loss: 3.647 grad: 2.770 pred: 2.195 reward: 10.00 eps:0.14 exploit regret:    - hn:0.719 hc:0.90 | source_yahoo_finance | Hype Beast | PanBrain Tech Unveils Breakthrough Brain-Compu
[Step 152] user:dave  loss: 2.351 grad: 4.144 pred: 2.163 reward:  7.12 eps:0.14 exploit regret:    - hn:0.714 hc:0.90 | destructoid.com | Hype Beast | Best players for FC 26 Shove Off Evolution
[Step 153] user:dave  loss: 2.818 grad: 3.080 pred: 2.158 reward:  7.21 eps:0.14 exploit regret:    - hn:0.716 hc:0.90 | nylon.com | Clickbait Shocker | Suddenly, Everyone In Fashion Needs Prescripti
[Step 154] user:dave  loss: 2.763 grad: 3.366 pred: 2.146 reward:  7.42 eps:0.13 explore regret:    - hn:0.716 hc:0.90 | eurogamer.net | Clickbait Shocker | You can expect to see more of Ron Perlman in F
[Step 155] user:dave  loss: 5.173 grad: 7.431 pred: 2.178 reward: -4.58 eps:0.13 exploit regret:    - hn:0.718 hc:0.90 | source_the_courier_mail | Dystopian Warning | The perfect storm of market cycles is collidin
[Step 156] user:dave  loss: 3.634 grad: 3.465 pred: 2.187 reward:  9.68 eps:0.13 exploit regret:    - hn:0.719 hc:0.90 | dailymail.co.uk | Angry Rant | New Archbishop of Canterbury hit with backlash
[Step 157] user:dave  loss: 5.138 grad: 8.015 pred: 2.163 reward: -4.61 eps:0.13 exploit regret:    - hn:0.716 hc:0.90 | instyle.com | Dystopian Warning | Hot Girls Are Dressing Like Pirates I Fear - i
[Step 158] user:dave  loss: 2.786 grad: 3.259 pred: 2.173 reward:  7.72 eps:0.13 exploit regret:    - hn:0.718 hc:0.90 | source_adda247 | Hype Beast | Microsoft’s Majorana 1: Quantum Computing Brea
[Step 159] user:dave  loss: 4.194 grad: 5.331 pred: 2.126 reward: 10.00 eps:0.13 explore regret:    - hn:0.712 hc:0.89 | source_atlas_obscura | Angry Rant | Tragedy Lingers Inside Chornobyl’s Abandoned C
[Step 160] user:dave  loss: 4.416 grad: 5.244 pred: 2.143 reward: 10.00 eps:0.13 exploit regret: 0.00 hn:0.714 hc:0.89 | source_homes_and_gardens | Hype Beast | Front door trends – 7 stylish ideas to boost c
[Step 161] user:dave  loss: 5.339 grad: 6.325 pred: 2.177 reward: -4.61 eps:0.13 exploit regret:    - hn:0.719 hc:0.90 | source_travel_and_tour_world | Somber Reflection | Portugal Joins Spain, Hungary, Romania, and Mo
[Step 162] user:dave  loss: 2.285 grad: 3.626 pred: 2.160 reward:  3.39 eps:0.13 explore regret:    - hn:0.716 hc:0.90 | source_food_dive | Angry Rant | Top 10 food and beverage industry trends — and
[Step 163] user:dave  loss: 2.787 grad: 3.264 pred: 2.170 reward:  7.84 eps:0.13 exploit regret:    - hn:0.718 hc:0.90 | source_dualshockers | Clickbait Shocker | Sugardew Island Review - DualShockers
[Step 164] user:dave  loss: 5.564 grad: 6.993 pred: 2.163 reward: -5.33 eps:0.13 exploit regret:    - hn:0.716 hc:0.90 | businessinsider.com | Somber Reflection | A GoFundMe was set up for James Van Der Beek's
[Step 165] user:dave  loss: 3.970 grad: 4.323 pred: 2.154 reward: 10.00 eps:0.13 explore regret:    - hn:0.716 hc:0.90 | source_techcrunch | Sarcastic Takedown | Don’t fall into the toxic workplace trap - Tec
[Step 166] user:dave  loss: 2.269 grad: 3.852 pred: 2.164 reward:  4.86 eps:0.13 exploit regret:    - hn:0.715 hc:0.90 | source_fortune | Angry Rant | 3 takeaways from a cardiologist and 'SuperAger
[Step 167] user:dave  loss: 3.657 grad: 3.560 pred: 2.161 reward:  9.95 eps:0.12 explore regret:    - hn:0.719 hc:0.90 | source_visual_capitalist | Angry Rant | Charted: The Rising Average Cost of College in
[Step 168] user:dave  loss: 2.324 grad: 3.609 pred: 2.147 reward:  4.00 eps:0.12 explore regret:    - hn:0.715 hc:0.90 | source_the_business_financial_times | Sarcastic Takedown | Stolen by a ringing phone: The hidden criminal
[Step 169] user:dave  loss: 2.899 grad: 3.029 pred: 2.157 reward:  7.88 eps:0.12 exploit regret:    - hn:0.714 hc:0.89 | source_sciencealert | Clickbait Shocker | Mysterious 'Dark Oxygen' Discovered at Bottom 
[Step 170] user:dave  loss: 4.434 grad: 5.123 pred: 2.083 reward: 10.00 eps:0.12 exploit regret: 0.00 hn:0.703 hc:0.89 | source_innovation_tech_today | Clickbait Shocker | National Geographic Lost Cities Revealed With 
[Step 171] user:dave  loss: 2.905 grad: 3.093 pred: 2.165 reward:  7.65 eps:0.12 exploit regret:    - hn:0.718 hc:0.90 | source_autoevolution | Clickbait Shocker | This Architectural Tiny House Embraces the Out
[Step 172] user:dave  loss: 2.758 grad: 2.977 pred: 2.136 reward:  7.27 eps:0.12 exploit regret:    - hn:0.712 hc:0.89 | source_china_s_state_council_information_office | Hype Beast | China enhances social credit system to boost h
[Step 173] user:dave  loss: 2.758 grad: 3.209 pred: 2.103 reward:  7.65 eps:0.12 exploit regret:    - hn:0.705 hc:0.89 | source_cryptorank | Hype Beast | Erebor National Bank Charter: Historic Crypto 
[Step 174] user:dave  loss: 3.728 grad: 3.940 pred: 2.083 reward: 10.00 eps:0.12 exploit regret:    - hn:0.703 hc:0.89 | source_bergen_record | Hype Beast | Regulate or be regulated: Why America must sha
[Step 175] user:dave  loss: 2.151 grad: 3.639 pred: 2.076 reward:  4.12 eps:0.12 exploit regret:    - hn:0.702 hc:0.89 | source_mirage_news | Angry Rant | Liu: Innovation Key to Boost Food Security - M
[Step 176] user:dave  loss: 5.657 grad: 7.595 pred: 2.079 reward: -5.56 eps:0.12 exploit regret:    - hn:0.702 hc:0.89 | transitcenter.org | Somber Reflection | Case Studies: Best Practices for Transportatio
[Step 177] user:dave  loss: 2.322 grad: 3.807 pred: 2.029 reward:  2.31 eps:0.12 exploit regret:    - hn:0.693 hc:0.88 | yourstory.com | Angry Rant | Indian VCs call for policies to encourage deep
[Step 178] user:dave  loss: 2.610 grad: 3.337 pred: 2.048 reward:  7.42 eps:0.12 exploit regret:    - hn:0.696 hc:0.88 | source_digitimes | Hype Beast | China eyes 2027 BCI breakthrough as it races t
[Step 179] user:dave  loss: 1.859 grad: 3.950 pred: 1.943 reward:  3.64 eps:0.12 exploit regret:    - hn:0.680 hc:0.87 | dailymail.co.uk | Angry Rant | Squirming Ed Miliband refuses to explain why L
[Step 180] user:dave  loss: 6.255 grad:10.823 pred: 1.909 reward: -5.20 eps:0.11 exploit regret:15.20 hn:0.673 hc:0.87 | source_mansion_global | Analytical Deep Dive | Five New Developments Entering Miami’s Hot Con
[Step 181] user:dave  loss: 1.706 grad: 4.017 pred: 1.948 reward:  5.71 eps:0.11 exploit regret:    - hn:0.680 hc:0.87 | source_paxos | Analytical Deep Dive | Paxos + Revolut Bring Crypto to the Masses - P
[Step 182] user:dave  loss: 1.556 grad: 4.121 pred: 1.871 reward:  7.05 eps:0.11 exploit regret:    - hn:0.664 hc:0.86 | source_nbc_news | Analytical Deep Dive | Bird flu samples show mutations that may make 
[Step 183] user:dave  loss: 5.878 grad:10.190 pred: 1.867 reward: -4.73 eps:0.11 exploit regret:    - hn:0.663 hc:0.86 | source_strategic_energy_europe | Analytical Deep Dive | Poland advances renewable and grid stability g
[Step 184] user:dave  loss: 1.712 grad: 4.027 pred: 1.822 reward:  3.54 eps:0.11 exploit regret:    - hn:0.656 hc:0.86 | nucamp.co | Angry Rant | The Vibe Coding Backlash: Why Many Developers 
[Step 185] user:dave  loss: 1.531 grad: 3.582 pred: 1.791 reward:  5.53 eps:0.11 exploit regret:    - hn:0.651 hc:0.86 | source_investopedia | Analytical Deep Dive | Fidelity Will Accept Bitcoin Collateral for Ca
[Step 186] user:dave  loss: 1.476 grad: 3.890 pred: 1.732 reward:  6.71 eps:0.11 exploit regret:    - hn:0.639 hc:0.85 | source_sky_news | Analytical Deep Dive | What you should know about bird flu in the UK 
[Step 187] user:dave  loss: 5.412 grad:10.988 pred: 1.697 reward: 10.00 eps:0.11 exploit regret:    - hn:0.630 hc:0.84 | dazeddigital.com | Somber Reflection | ‘Hope is work’: Marc Jacobs’ SS26 show grapple
[Step 188] user:dave  loss: 5.627 grad:16.095 pred: 1.658 reward: -5.23 eps:0.11 explore regret:    - hn:0.631 hc:0.84 | engadget.com | Somber Reflection | US judicial body removes climate research pape
[Step 189] user:dave  loss: 5.436 grad:18.588 pred: 1.610 reward: -4.92 eps:0.11 exploit regret:    - hn:0.611 hc:0.83 | source_forbes | Somber Reflection | Fred Wilson And The Death Of Venture Capital -
[Step 190] user:dave  loss: 5.448 grad:14.632 pred: 1.635 reward: -4.67 eps:0.11 exploit regret:14.67 hn:0.618 hc:0.84 | source_mercator_institute_for_china_studies_merics | Somber Reflection | China’s Social Credit System in 2021: From fra
[Step 191] user:dave  loss: 6.220 grad:14.645 pred: 1.585 reward: -4.78 eps:0.11 explore regret:    - hn:0.608 hc:0.83 | source_marketing_dive | Analytical Deep Dive | Honda drives deeper into gaming, esports with 
[Step 192] user:dave  loss: 1.396 grad: 4.255 pred: 1.680 reward:  7.00 eps:0.35 exploit regret:    - hn:0.623 hc:0.84 | source_cnbc | Analytical Deep Dive | Here's how China could retaliate against U.S. 
[Step 193] user:dave  loss: 4.735 grad: 9.307 pred: 1.620 reward: 10.00 eps:0.35 explore regret:    - hn:0.615 hc:0.83 | source_defense_news | Analytical Deep Dive | Macron puts local defense firms on notice Fran
[Step 194] user:dave  loss: 3.741 grad: 5.845 pred: 1.699 reward: 10.00 eps:0.10 exploit regret:    - hn:0.626 hc:0.84 | source_quantum_zeitgeist | Analytical Deep Dive | D-Wave Solves Complex Problems With Commercial
[Step 195] user:dave  loss: 1.500 grad: 3.888 pred: 1.684 reward:  5.60 eps:0.10 exploit regret:    - hn:0.622 hc:0.84 | propublica.org | Analytical Deep Dive | The Real Story Behind the Midnight Immigration
[Step 196] user:dave  loss: 1.671 grad: 3.573 pred: 1.671 reward:  5.91 eps:0.10 exploit regret:    - hn:0.621 hc:0.84 | source_msn | Analytical Deep Dive | CES 2026: Gaming trends to expect at the show 
[Step 197] user:dave  loss: 1.656 grad: 3.791 pred: 1.604 reward:  6.97 eps:0.10 exploit regret:    - hn:0.607 hc:0.83 | source_mamavation | Analytical Deep Dive | Safest Bamboo Flooring Sans PFAS "Forever Chem
[Step 198] user:dave  loss: 1.554 grad: 3.682 pred: 1.575 reward:  6.08 eps:0.10 exploit regret:    - hn:0.604 hc:0.83 | nytimes.com | Analytical Deep Dive | Lutnick, Wasserman and Others Caught Up in Eps
[Step 199] user:dave  loss: 5.263 grad:10.575 pred: 1.512 reward: -5.14 eps:0.10 exploit regret:    - hn:0.589 hc:0.82 | source_yahoo | Analytical Deep Dive | In Miami, Mediterranean Style Still Shines—Eve
[Step 200] user:dave  loss: 1.252 grad: 3.906 pred: 1.524 reward:  4.33 eps:0.10 exploit regret: 5.67 hn:0.593 hc:0.82 | source_techradar | Analytical Deep Dive | Prusa CEO declares "open hardware desktop 3D p
  └─ checkpoint step=200 rolling_reward_50=4.24 mean_regret_so_far=5.63

🏁 Final Reward(10): 4.60 | Mean Regret: 5.63
🔬 User-state cluster by session phase:
  cluster_0: {'early': 12, 'mid': 39}
  cluster_1: {'early': 22, 'mid': 3, 'late': 67}
  cluster_2: {'early': 32, 'mid': 25}
💾 Warm-start checkpoint saved to: outputs/base_multi_16k.pt
