🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight contrarian_chaos phase2_positive_rate=0.694 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=contrarian_chaos
[Step 117] user:contrarian_chaos loss: 3.900 grad: 1.748 pred: 2.397 reward: 10.00 eps:0.16 exploit regret:    - hn:0.751 hc:0.92 | theindianjurist.com | Analytical Deep Dive | 2026 Real Estate Trends – Adapting to a Shifti
[Step 118] user:contrarian_chaos loss: 3.536 grad: 1.877 pred: 2.387 reward:  4.51 eps:0.16 exploit regret:    - hn:0.749 hc:0.92 | source_michigan_state_university | Analytical Deep Dive | The Urban Agriculture trend continues in 2017 
[Step 119] user:contrarian_chaos loss: 3.630 grad: 2.091 pred: 2.369 reward:  6.03 eps:0.16 exploit regret:    - hn:0.747 hc:0.91 | source_trend_hunter | Analytical Deep Dive | Adaptable Prefab Tiny Homes - Trend Hunter
[Step 120] user:contrarian_chaos loss: 4.785 grad: 2.531 pred: 2.347 reward: -4.78 eps:0.16 exploit regret:14.78 hn:0.744 hc:0.91 | source_bez_kabli | Hype Beast | Dow Jones hits another record as weak retail s
[Step 121] user:contrarian_chaos loss: 4.707 grad: 2.801 pred: 2.298 reward: -4.81 eps:0.16 explore regret:    - hn:0.738 hc:0.91 | source_tech_funding_news | Hype Beast | German startup Everphone dials €270M funding t
[Step 122] user:contrarian_chaos loss: 4.759 grad: 3.088 pred: 2.247 reward: -5.27 eps:0.16 exploit regret:    - hn:0.728 hc:0.90 | dailymail.co.uk | Somber Reflection | Transgender women could keep using ladies' loo
[Step 123] user:contrarian_chaos loss: 3.276 grad: 3.395 pred: 2.176 reward:  6.74 eps:0.35 exploit regret:    - hn:0.716 hc:0.90 | nytimes.com | Analytical Deep Dive | YouTube Argues It Isn’t Social Media in Landma
[Step 124] user:contrarian_chaos loss: 2.866 grad: 3.975 pred: 2.055 reward:  3.27 eps:0.35 exploit regret:    - hn:0.698 hc:0.89 | inhabitat.com | Dystopian Warning | Simple uses of jute mesh to tame soil erosion
[Step 125] user:contrarian_chaos loss: 4.198 grad: 6.023 pred: 1.879 reward: -5.27 eps:0.35 explore regret:    - hn:0.667 hc:0.87 | statnews.com | Hype Beast | STAT+: Humana projects sharply lower earnings 
[Step 126] user:contrarian_chaos loss: 3.788 grad: 7.652 pred: 1.666 reward: -4.93 eps:0.35 explore regret:    - hn:0.628 hc:0.84 | forbes.com | Angry Rant | Racist Videos And Payment Problems: The Dark S
[Step 127] user:contrarian_chaos loss: 3.540 grad:10.130 pred: 1.406 reward: -5.39 eps:0.35 explore regret:    - hn:0.570 hc:0.81 | engadget.com | Angry Rant | Proton VPN deal: Get up to 70 percent off two-
[Step 128] user:contrarian_chaos loss: 3.136 grad:11.899 pred: 1.160 reward: -5.53 eps:0.35 exploit regret:    - hn:0.505 hc:0.76 | lifehacker.com | Hype Beast | This Nothing Smartwatch With Built-In ChatGPT 
[Step 129] user:contrarian_chaos loss: 1.213 grad: 7.430 pred: 0.785 reward:  3.09 eps:0.35 exploit regret:    - hn:0.403 hc:0.68 | atlasobscura.com | Clickbait Shocker | Visiting every museum in New York City
[Step 130] user:contrarian_chaos loss: 1.801 grad:12.557 pred: 0.444 reward:  4.51 eps:0.35 exploit regret: 5.49 hn:0.311 hc:0.61 | technologyreview.com | Analytical Deep Dive | The Download: inside the QuitGPT movement, and
[Step 131] user:contrarian_chaos loss: 0.956 grad:11.183 pred: 0.244 reward:  4.64 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | smh.com.au | Analytical Deep Dive | Why everyone is talking about Eric Bana's new 
[Step 132] user:contrarian_chaos loss: 1.288 grad:14.842 pred: 0.081 reward:  6.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_showmax_stories | Analytical Deep Dive | 9 South African true-crime series, ranked - Sh
[Step 133] user:contrarian_chaos loss: 1.441 grad:22.548 pred: 0.067 reward: -4.66 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | hypebeast.com | Analytical Deep Dive | Nike Air Foamposite One Surfaces in "Floral"
[Step 134] user:contrarian_chaos loss: 1.503 grad:25.607 pred: 0.026 reward: -5.48 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_times_of_india | Analytical Deep Dive | Venture capitalists must step up funding suppo
[Step 135] user:contrarian_chaos loss: 1.655 grad:19.792 pred:-0.058 reward:  6.99 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_house_digest | Analytical Deep Dive | The Garden Trend To Embrace In 2026 That's Per
[Step 136] user:contrarian_chaos loss: 1.238 grad:28.007 pred:-0.053 reward: -4.63 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | venturebeat.com | Analytical Deep Dive | Listen Labs raises $69M after viral billboard 
[Step 137] user:contrarian_chaos loss:15.223 grad:66.320 pred:-0.086 reward:  7.92 eps:0.35 explore regret:    - hn:0.000 hc:0.00 | source_sky_news_australia | Analytical Deep Dive | Gambling industry whistleblower set to launch 
[Step 138] user:contrarian_chaos loss:15.385 grad:63.149 pred:-0.078 reward: 10.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_vietnam_investment_review_vir | Analytical Deep Dive | State-owned stocks rally as reform expectation
[Step 139] user:contrarian_chaos loss: 1.022 grad:21.577 pred: 0.029 reward: -5.24 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_talking_retail | Analytical Deep Dive | Cofresh taps into street food trend with new r
[Step 140] user:contrarian_chaos loss: 1.243 grad:22.496 pred: 0.037 reward:  6.38 eps:0.15 exploit regret: 3.62 hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | The Role Of Venture Capital, Private Equity, A
[Step 141] user:contrarian_chaos loss: 1.089 grad:19.232 pred: 0.110 reward: -5.42 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_democrat_and_chronicle | Analytical Deep Dive | Construct CRM, AI-Powered eCommerce Platform, 
[Step 142] user:contrarian_chaos loss: 1.012 grad:16.167 pred: 0.129 reward: -5.11 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_novobrief | Analytical Deep Dive | Pitbull Ventures Closes $5M Venture Capital Fu
[Step 143] user:contrarian_chaos loss: 3.355 grad:25.116 pred: 0.075 reward:  4.22 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_pr_newswire | Analytical Deep Dive | Qloud Games Raises $5M Seed Round Led by BITKR
[Step 144] user:contrarian_chaos loss: 0.873 grad:12.252 pred: 0.106 reward: -4.88 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_archdaily | Analytical Deep Dive | New Public Transit Map Series Launches with Lo
[Step 145] user:contrarian_chaos loss: 0.761 grad:10.587 pred: 0.068 reward: -4.69 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_gq_india | Analytical Deep Dive | 7 gripping crime thriller web series on Apple 
[Step 146] user:contrarian_chaos loss: 0.819 grad:10.545 pred: 0.013 reward: -5.50 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_the_wall_street_journal | Analytical Deep Dive | Who Killed the Sycamore Tree? Britain’s Latest
[Step 147] user:contrarian_chaos loss:10.703 grad:42.788 pred:-0.108 reward: 10.00 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | How Jeffrey Epstein Helped His Publicist Becom
[Step 148] user:contrarian_chaos loss: 2.955 grad:16.421 pred: 0.065 reward:  5.38 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Venture Capital Fundamentals: Why VC Is A Driv
[Step 149] user:contrarian_chaos loss: 0.812 grad: 7.150 pred: 0.101 reward: -4.99 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 30 Under 30 Venture Capital 2025: Meet The Inv
[Step 150] user:contrarian_chaos loss: 3.034 grad:14.414 pred: 0.151 reward:  6.45 eps:0.14 exploit regret: 3.55 hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | These Two Under 30s Got Personal With Their Ve
  └─ checkpoint step=150 rolling_reward_50=0.45 mean_regret_so_far=3.78
[Step 151] user:contrarian_chaos loss: 1.736 grad: 9.604 pred: 0.175 reward:  4.44 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 30 Under 30 In Venture Capital 2021: Meet The 
[Step 152] user:contrarian_chaos loss: 2.688 grad:13.602 pred: 0.113 reward:  4.63 eps:0.14 explore regret:    - hn:0.000 hc:0.00 | source_the_recursive | Analytical Deep Dive | Apeiron Ventures Makes First Investment from L
[Step 153] user:contrarian_chaos loss: 2.131 grad: 7.194 pred: 0.470 reward:  6.21 eps:0.14 exploit regret:    - hn:0.304 hc:0.60 | source_forbes | Analytical Deep Dive | Korean Tire Giant Hankook Launches Corporate V
[Step 154] user:contrarian_chaos loss: 2.721 grad: 7.091 pred: 0.634 reward:  6.92 eps:0.13 exploit regret:    - hn:0.324 hc:0.62 | source_forbes | Analytical Deep Dive | Masayoshi Son’s SoftBank Sells Venture Capital
[Step 155] user:contrarian_chaos loss: 1.762 grad: 8.308 pred: 0.594 reward: -5.33 eps:0.13 exploit regret:    - hn:0.336 hc:0.63 | source_failory | Analytical Deep Dive | Top 9 Venture Capital Firms in Copenhagen (202
[Step 156] user:contrarian_chaos loss: 2.156 grad: 7.162 pred: 0.540 reward:  6.75 eps:0.13 explore regret:    - hn:0.346 hc:0.64 | source_the_business_journals | Analytical Deep Dive | Here are the Boston venture capital firms read
[Step 157] user:contrarian_chaos loss: 1.677 grad: 5.919 pred: 0.582 reward:  4.30 eps:0.13 exploit regret:    - hn:0.335 hc:0.63 | source_electronic_frontier_foundation | Analytical Deep Dive | Hundreds of Tech Companies Want to Cash In on 
[Step 158] user:contrarian_chaos loss: 6.609 grad:19.072 pred: 0.569 reward: 10.00 eps:0.13 exploit regret:    - hn:0.341 hc:0.63 | source_kjzz | Analytical Deep Dive | De-influencing: Taking 'anti-buy' trend from o
[Step 159] user:contrarian_chaos loss: 2.249 grad: 7.113 pred: 0.598 reward:  6.04 eps:0.13 exploit regret:    - hn:0.352 hc:0.64 | source_washington_county_md | Analytical Deep Dive | Washington County Transit Awarded $2.8 Million
[Step 160] user:contrarian_chaos loss: 1.537 grad: 5.632 pred: 0.651 reward:  4.79 eps:0.13 exploit regret: 2.32 hn:0.366 hc:0.65 | source_trend_hunter | Analytical Deep Dive | Super-Sized Public Transit - Trend Hunter
[Step 161] user:contrarian_chaos loss: 2.146 grad: 7.165 pred: 0.631 reward:  6.27 eps:0.13 exploit regret:    - hn:0.360 hc:0.65 | source_sky_news | Analytical Deep Dive | 'It's invading menus': Top chef on overrated t
[Step 162] user:contrarian_chaos loss: 2.035 grad: 8.625 pred: 0.692 reward: -5.05 eps:0.13 explore regret:    - hn:0.385 hc:0.67 | source_marketsandmarkets | Analytical Deep Dive | Automotive Charge Air Cooler Market Size, Shar
[Step 163] user:contrarian_chaos loss: 1.427 grad: 6.115 pred: 0.662 reward:  6.19 eps:0.13 exploit regret:    - hn:0.368 hc:0.66 | source_hyattsville_wire | Analytical Deep Dive | Why Suya Is Route 1’s Hot New Dining Trend - H
[Step 164] user:contrarian_chaos loss: 7.408 grad:23.344 pred: 0.628 reward: 10.00 eps:0.13 exploit regret:    - hn:0.359 hc:0.65 | source_abc_news | Analytical Deep Dive | 2026 global travel trend predictions: Farms, c
[Step 165] user:contrarian_chaos loss: 2.041 grad: 8.404 pred: 0.672 reward:  7.19 eps:0.13 explore regret:    - hn:0.374 hc:0.66 | source_cbs_news | Analytical Deep Dive | Best Garden Centers In New York City - CBS New
[Step 166] user:contrarian_chaos loss: 1.621 grad: 6.546 pred: 0.728 reward:  4.45 eps:0.13 exploit regret:    - hn:0.384 hc:0.67 | source_afaqs | Analytical Deep Dive | Dealing with deinfluencing: lessons from Bourn
[Step 167] user:contrarian_chaos loss: 2.547 grad:11.912 pred: 0.764 reward: -5.38 eps:0.12 explore regret:    - hn:0.394 hc:0.68 | source_carsguide | Analytical Deep Dive | Ford Transit Custom Trend 2026 review: snapsho
[Step 168] user:contrarian_chaos loss: 0.918 grad: 5.075 pred: 0.788 reward:  5.17 eps:0.12 explore regret:    - hn:0.401 hc:0.68 | source_cbc | Analytical Deep Dive | This Timmins, Ont., non-profit is opening a co
[Step 169] user:contrarian_chaos loss: 1.488 grad: 6.648 pred: 0.838 reward:  4.65 eps:0.12 exploit regret:    - hn:0.415 hc:0.69 | source_the_harvard_crimson | Analytical Deep Dive | Is Deinfluencing Just Another Aesthetic? - The
[Step 170] user:contrarian_chaos loss: 7.768 grad:78.438 pred: 0.868 reward: -4.84 eps:0.12 exploit regret:14.84 hn:0.420 hc:0.70 | dailymail.co.uk | Dystopian Warning | Half a million children on NHS mental health w
[Step 171] user:contrarian_chaos loss: 0.302 grad: 9.537 pred: 0.842 reward:  4.48 eps:0.12 exploit regret:    - hn:0.418 hc:0.70 | source_the_hindu | Dystopian Warning | Amit Shah calls for hi-tech solutions to secur
[Step 172] user:contrarian_chaos loss: 0.732 grad: 4.785 pred: 0.824 reward:  5.05 eps:0.12 exploit regret:    - hn:0.413 hc:0.69 | source_gktoday | Analytical Deep Dive | India’s First Digital Nomad Village Launch - G
[Step 173] user:contrarian_chaos loss: 1.495 grad: 9.137 pred: 0.797 reward:  6.05 eps:0.12 exploit regret:    - hn:0.406 hc:0.69 | source_morning_brew | Analytical Deep Dive | Anti-consumerist ‘deinfluencing’ trend takes h
[Step 174] user:contrarian_chaos loss: 1.435 grad:10.537 pred: 0.787 reward:  4.32 eps:0.12 exploit regret:    - hn:0.405 hc:0.69 | source_get_golden_visa | Analytical Deep Dive | Italy Digital Nomad Visa 2026 Guide : Requirem
[Step 175] user:contrarian_chaos loss: 3.108 grad:16.866 pred: 0.829 reward: -4.57 eps:0.12 exploit regret:    - hn:0.412 hc:0.69 | source_abc_news | Analytical Deep Dive | Latest Airport Food Trend? Trucks - ABC News
[Step 176] user:contrarian_chaos loss: 0.591 grad: 5.082 pred: 0.808 reward:  4.95 eps:0.12 exploit regret:    - hn:0.411 hc:0.69 | engadget.com | Analytical Deep Dive | Meta, TikTok and Snap are participating in an 
[Step 177] user:contrarian_chaos loss: 1.373 grad:10.795 pred: 0.800 reward:  5.70 eps:0.12 exploit regret:    - hn:0.409 hc:0.69 | source_money_talks_news | Analytical Deep Dive | Ask Stacy: What Happens If My Investment Accou
[Step 178] user:contrarian_chaos loss: 1.570 grad:12.567 pred: 0.814 reward:  7.13 eps:0.12 exploit regret:    - hn:0.413 hc:0.69 | source_book_riot | Analytical Deep Dive | 2025’s Best Books of the Year So Far: Mystery,
[Step 179] user:contrarian_chaos loss: 3.743 grad:22.012 pred: 0.860 reward: -4.87 eps:0.12 exploit regret:    - hn:0.426 hc:0.70 | macrumors.com | Analytical Deep Dive | Never Miss Your Doorbell While Wearing Headpho
[Step 180] user:contrarian_chaos loss: 0.730 grad: 6.117 pred: 0.886 reward:  5.36 eps:0.11 exploit regret: 4.64 hn:0.432 hc:0.71 | source_adafruit | Analytical Deep Dive | Restoring a retro Acorn Electron computer #Vin
[Step 181] user:contrarian_chaos loss: 3.874 grad:21.720 pred: 0.894 reward: -5.49 eps:0.11 exploit regret:    - hn:0.435 hc:0.71 | macrumors.com | Analytical Deep Dive | T-Mobile Launches Beta for Free Real-Time Call
[Step 182] user:contrarian_chaos loss: 3.573 grad:19.967 pred: 0.884 reward: -4.89 eps:0.11 exploit regret:    - hn:0.432 hc:0.71 | source_the_hindu | Analytical Deep Dive | Investigation into PSLV failures ‘ongoing’, ne
[Step 183] user:contrarian_chaos loss: 0.764 grad: 6.068 pred: 0.859 reward:  5.38 eps:0.35 exploit regret:    - hn:0.425 hc:0.70 | source_the_points_guy | Analytical Deep Dive | How to save on a cruise: 33 money-saving tips 
[Step 184] user:contrarian_chaos loss: 3.190 grad:16.940 pred: 0.842 reward: -4.83 eps:0.35 exploit regret:    - hn:0.417 hc:0.70 | hypebeast.com | Analytical Deep Dive | Nike SB To Release the Air Force 1 “Light Orew
[Step 185] user:contrarian_chaos loss: 0.748 grad: 5.316 pred: 0.798 reward:  4.54 eps:0.35 exploit regret:    - hn:0.407 hc:0.69 | source_mit_technology_review | Analytical Deep Dive | How a College Kid Made His Honda Civic Self-Dr
[Step 186] user:contrarian_chaos loss: 6.365 grad:22.652 pred: 0.761 reward:  7.52 eps:0.35 exploit regret:    - hn:0.398 hc:0.68 | source_fox_news | Analytical Deep Dive | 'Silent walking' trend: Psychiatrist shares st
[Step 187] user:contrarian_chaos loss: 2.806 grad:14.825 pred: 0.740 reward: -4.89 eps:0.11 exploit regret:    - hn:0.391 hc:0.68 | source_abc_news | Analytical Deep Dive | Ukraine war must become 'untenable' for Russia
[Step 188] user:contrarian_chaos loss: 1.753 grad: 9.190 pred: 0.713 reward:  7.03 eps:0.11 explore regret:    - hn:0.390 hc:0.67 | zerohedge.blogspot.com | Analytical Deep Dive | The Flash Trading Org Chart
[Step 189] user:contrarian_chaos loss: 2.720 grad:12.528 pred: 0.727 reward: -5.50 eps:0.11 exploit regret:    - hn:0.389 hc:0.67 | macrumors.com | Analytical Deep Dive | Satechi's Essentials Sale Takes 20% Off Popula
[Step 190] user:contrarian_chaos loss: 2.468 grad:10.916 pred: 0.726 reward: -4.91 eps:0.11 exploit regret:14.91 hn:0.385 hc:0.67 | macrumors.com | Analytical Deep Dive | Apple Releases visionOS 26.3
[Step 191] user:contrarian_chaos loss:10.368 grad:30.772 pred: 0.711 reward: 10.00 eps:0.35 explore regret:    - hn:0.383 hc:0.67 | source_book_riot | Analytical Deep Dive | The Best Mystery, Thriller, and True Crime Boo
[Step 192] user:contrarian_chaos loss: 4.532 grad:11.739 pred: 0.863 reward: 10.00 eps:0.11 exploit regret:    - hn:0.391 hc:0.67 | hypebeast.com | Analytical Deep Dive | Levi's and EDIFICE Present Bespoke 501 "Big E"
[Step 193] user:contrarian_chaos loss: 4.301 grad: 8.352 pred: 1.081 reward: 10.00 eps:0.11 exploit regret:    - hn:0.432 hc:0.71 | hypebeast.com | Analytical Deep Dive | The Styles Tiger Woods Wore Before He Became a
[Step 194] user:contrarian_chaos loss: 4.101 grad: 8.025 pred: 1.041 reward: 10.00 eps:0.10 exploit regret:    - hn:0.467 hc:0.73 | source_the_spruce | Analytical Deep Dive | I Recreated This Viral DIY Tray—It Took Less T
[Step 195] user:contrarian_chaos loss: 2.003 grad: 5.573 pred: 1.350 reward:  4.62 eps:0.10 exploit regret:    - hn:0.536 hc:0.78 | source_architectural_digest_india | Analytical Deep Dive | This tranquil Bengaluru home dives deep into e
[Step 196] user:contrarian_chaos loss: 3.688 grad: 3.927 pred: 1.492 reward:  7.23 eps:0.10 exploit regret:    - hn:0.562 hc:0.80 | source_book_riot | Analytical Deep Dive | The Best Mystery, Thriller, and True Crime Boo
[Step 197] user:contrarian_chaos loss: 2.370 grad: 5.587 pred: 1.545 reward:  5.76 eps:0.10 exploit regret:    - hn:0.584 hc:0.81 | source_mint | Analytical Deep Dive | Video of ‘cleanest indian street food’ goes vi
[Step 198] user:contrarian_chaos loss: 2.311 grad: 5.431 pred: 1.550 reward:  5.01 eps:0.10 exploit regret:    - hn:0.581 hc:0.81 | hypebeast.com | Analytical Deep Dive | Listings: David and Victoria Beckham Sell Zaha
[Step 199] user:contrarian_chaos loss: 3.725 grad: 4.091 pred: 1.483 reward:  7.46 eps:0.10 exploit regret:    - hn:0.552 hc:0.79 | source_book_riot | Analytical Deep Dive | 5 New Mystery, Thrillers, & True Crime Adaptat
[Step 200] user:contrarian_chaos loss: 5.452 grad: 8.915 pred: 1.515 reward: 10.00 eps:0.10 exploit regret: 0.00 hn:0.551 hc:0.79 | source_concordia_university | Analytical Deep Dive | Concordia hosts whistleblower Edward Snowden a
  └─ checkpoint step=200 rolling_reward_50=3.70 mean_regret_so_far=4.67

🏁 Final Reward(10): 8.01 | Mean Regret: 4.67
🔬 User-state cluster by session phase:
  cluster_0: {'early': 52, 'mid': 40}
  cluster_1: {'mid': 27, 'late': 67}
  cluster_2: {'early': 14}
💾 Warm-start checkpoint saved to: outputs/base_multi_16k.pt
