🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight gamer positive_rate=0.206 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k_anchor.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=350 | bot=gamer
[Step 124] user:gamer loss: 4.143 grad:12.642 pred: 2.847 reward:  2.77 eps:0.20 exploit regret:    - hn:0.800 hc:0.94 | source_copyleaks | Dystopian Warning | Copyleaks Research: 83% Fear AI Video Manipula
[Step 125] user:gamer loss: 1.171 grad: 4.644 pred: 2.830 reward:  7.76 eps:0.20 explore regret:    - hn:0.797 hc:0.94 | source_national_geographic | Clickbait Shocker | "Lost" New England Revealed by High-Tech Archa
[Step 126] user:gamer loss: 3.565 grad:10.788 pred: 2.786 reward: 10.00 eps:0.20 exploit regret:    - hn:0.793 hc:0.94 | source_arab_news | Hype Beast | Saudi Arabia strengthens food security with tr
[Step 127] user:gamer loss: 1.220 grad: 4.555 pred: 2.818 reward:  7.68 eps:0.20 exploit regret:    - hn:0.796 hc:0.94 | source_technetbook | Clickbait Shocker | Punkt MC03 Privacy Smartphone with AphyOS Reve
[Step 128] user:gamer loss: 4.228 grad:13.232 pred: 2.812 reward: 10.00 eps:0.20 exploit regret:    - hn:0.796 hc:0.94 | source_yahoo_finance | Hype Beast | PanBrain Tech Unveils Breakthrough Brain-Compu
[Step 129] user:gamer loss: 3.473 grad:12.854 pred: 2.877 reward:  6.65 eps:0.19 explore regret:    - hn:0.803 hc:0.95 | source_pr_newswire | Hype Beast | Breakthrough Vaccine Technology Addresses Crit
[Step 130] user:gamer loss: 1.084 grad: 4.474 pred: 2.873 reward:  7.80 eps:0.19 exploit regret: 2.20 hn:0.800 hc:0.94 | eurogamer.net | Clickbait Shocker | Indie dev claims the sudden takedown of its ga
[Step 131] user:gamer loss: 2.596 grad:10.072 pred: 2.892 reward:  7.73 eps:0.19 exploit regret:    - hn:0.804 hc:0.95 | source_liverpool_city_region_combined_authority | Clickbait Shocker | Designs for new £32m St Helens Transport Inter
[Step 132] user:gamer loss: 1.967 grad: 8.209 pred: 2.854 reward:  7.13 eps:0.19 exploit regret:    - hn:0.799 hc:0.94 | dailymail.co.uk | Clickbait Shocker | Jamie Redknapp reveals he's been sober for 18 
[Step 133] user:gamer loss: 1.994 grad: 9.746 pred: 2.902 reward:  6.69 eps:0.19 exploit regret:    - hn:0.798 hc:0.94 | rockpapershotgun.com | Clickbait Shocker | Square Enix's baffling murder mystery social g
[Step 134] user:gamer loss: 4.713 grad:18.384 pred: 2.892 reward: 10.00 eps:0.19 exploit regret:    - hn:0.801 hc:0.95 | source_business_insider | Clickbait Shocker | Home Depot salaries revealed: How much tech jo
[Step 135] user:gamer loss: 7.933 grad:24.522 pred: 2.885 reward: 10.00 eps:0.19 exploit regret:    - hn:0.801 hc:0.95 | source_ign_nordic | Clickbait Shocker | Nintendo Switch-Style Atari 2600 Retro Handhel
[Step 136] user:gamer loss: 1.135 grad: 4.556 pred: 2.832 reward:  7.69 eps:0.19 exploit regret:    - hn:0.797 hc:0.94 | source_sabc_news | Hype Beast | New tech to boost border security: SAPU - SABC
[Step 137] user:gamer loss: 3.375 grad:12.916 pred: 2.852 reward:  6.72 eps:0.19 exploit regret:    - hn:0.800 hc:0.94 | source_rnz | Clickbait Shocker | GridAKL's contribution to Auckland economy rev
[Step 138] user:gamer loss: 3.116 grad:10.287 pred: 2.782 reward:  6.94 eps:0.19 exploit regret:    - hn:0.793 hc:0.94 | source_global_times | Hype Beast | Chinese scientists make breakthrough in BCI-as
[Step 139] user:gamer loss: 3.275 grad: 9.252 pred: 2.731 reward:  4.28 eps:0.19 exploit regret:    - hn:0.788 hc:0.94 | globalelr.com | Angry Rant | China’s Environmental Social Credit System Enc
[Step 140] user:gamer loss: 4.621 grad:12.367 pred: 2.707 reward: 10.00 eps:0.19 exploit regret: 0.00 hn:0.786 hc:0.94 | source_the_guardian | Clickbait Shocker | Secret EU plan ‘to sabotage Hungarian economy’
[Step 141] user:gamer loss: 2.959 grad:10.123 pred: 2.726 reward:  6.63 eps:0.19 exploit regret:    - hn:0.784 hc:0.94 | eurogamer.net | Clickbait Shocker | "She can be even better" - Blizzard agrees to 
[Step 142] user:gamer loss: 1.983 grad: 5.925 pred: 2.634 reward:  7.14 eps:0.19 exploit regret:    - hn:0.776 hc:0.93 | androidauthority.com | Clickbait Shocker | Massive Galaxy S26 series spec leak leaves not
[Step 143] user:gamer loss: 2.035 grad: 5.479 pred: 2.587 reward:  6.68 eps:0.19 exploit regret:    - hn:0.774 hc:0.93 | source_crypto_adventure | Hype Beast | KeepKey Wallet Review 2026: The Minimalist Har
[Step 144] user:gamer loss: 2.679 grad: 6.831 pred: 2.576 reward:  6.95 eps:0.19 exploit regret:    - hn:0.770 hc:0.93 | source_the_economic_times | Sarcastic Takedown | What is 'revenge quitting'? Is this rising tre
[Step 145] user:gamer loss: 4.335 grad: 9.925 pred: 2.549 reward: 10.00 eps:0.19 exploit regret:    - hn:0.768 hc:0.93 | dailymail.co.uk | Clickbait Shocker | Newly-single Olivia Attwood stuns in a cream f
[Step 146] user:gamer loss: 4.530 grad:11.357 pred: 2.540 reward: 10.00 eps:0.19 exploit regret:    - hn:0.766 hc:0.93 | source_dualshockers | Clickbait Shocker | 9 Highly Reviewed Cozy Games That Are Overrate
[Step 147] user:gamer loss: 1.675 grad: 5.182 pred: 2.520 reward:  7.96 eps:0.19 exploit regret:    - hn:0.765 hc:0.92 | theguardian.com | Hype Beast | Cees Nooteboom, Dutch novelist and travel writ
[Step 148] user:gamer loss: 7.295 grad:14.182 pred: 2.509 reward: -5.32 eps:0.19 exploit regret:    - hn:0.765 hc:0.92 | source_forbes | Dystopian Warning | 3 Risks That Every Meta Stock Investor Should 
[Step 149] user:gamer loss: 2.652 grad: 5.495 pred: 2.470 reward:  4.91 eps:0.19 exploit regret:    - hn:0.760 hc:0.92 | source_iol | Angry Rant | Renewable energy surge highlights urgent need 
[Step 150] user:gamer loss: 3.715 grad: 8.364 pred: 2.460 reward: 10.00 eps:0.19 exploit regret: 0.00 hn:0.758 hc:0.92 | source_yahoo_finance_canada | Hype Beast | Space sector eyes further investment growth in
  └─ checkpoint step=150 rolling_reward_50=7.55 mean_regret_so_far=2.92
[Step 151] user:gamer loss: 4.154 grad: 8.751 pred: 2.445 reward: 10.00 eps:0.19 exploit regret:    - hn:0.757 hc:0.92 | source_travel_and_tour_world | Hype Beast | Sri Lanka Introduces New Digital Nomad Visa to
[Step 152] user:gamer loss: 2.078 grad: 5.078 pred: 2.437 reward:  7.09 eps:0.18 exploit regret:    - hn:0.756 hc:0.92 | source_daily_record | Hype Beast | Microplastics from takeaway boxes may be fuell
[Step 153] user:gamer loss: 4.029 grad: 8.018 pred: 2.440 reward: 10.00 eps:0.18 exploit regret:    - hn:0.756 hc:0.92 | samsung.com | Hype Beast | Samsung’s Breakthrough Wearable Technologies D
[Step 154] user:gamer loss: 2.135 grad: 4.733 pred: 2.430 reward:  7.37 eps:0.18 explore regret:    - hn:0.755 hc:0.92 | source_tom_s_hardware | Hype Beast | China targets brain computer interface race wi
[Step 155] user:gamer loss: 2.212 grad: 4.763 pred: 2.434 reward:  6.92 eps:0.18 exploit regret:    - hn:0.755 hc:0.92 | source_european_medical_journal | Hype Beast | Potential breakthrough in brain-computer inter
[Step 156] user:gamer loss: 2.652 grad: 4.790 pred: 2.435 reward:  7.12 eps:0.18 exploit regret:    - hn:0.756 hc:0.92 | bbc.com | Hype Beast | Wrapped helps Spotify add users despite artist
[Step 157] user:gamer loss: 3.851 grad: 7.953 pred: 2.439 reward: 10.00 eps:0.18 exploit regret:    - hn:0.756 hc:0.92 | androidauthority.com | Hype Beast | Upgrade your content creation with the DJI Mic
[Step 158] user:gamer loss: 2.061 grad: 4.896 pred: 2.441 reward:  6.80 eps:0.18 exploit regret:    - hn:0.756 hc:0.92 | source_pandaily | Hype Beast | Mandarin Chinese Decoded from Brain Signals: N
[Step 159] user:gamer loss: 2.031 grad: 4.994 pred: 2.435 reward:  7.15 eps:0.18 explore regret:    - hn:0.756 hc:0.92 | source_news_medical | Hype Beast | Breakthrough miniaturized brain-machine interf
[Step 160] user:gamer loss: 4.070 grad: 9.309 pred: 2.437 reward: 10.00 eps:0.18 exploit regret: 0.00 hn:0.756 hc:0.92 | source_manchester_evening_news | Hype Beast | Archaeology breakthrough as ancient Mexican ci
[Step 161] user:gamer loss: 1.836 grad: 5.214 pred: 2.437 reward:  7.53 eps:0.18 exploit regret:    - hn:0.756 hc:0.92 | source_technology_networks | Hype Beast | How Could a “Breakthrough” Brain-Computer Inte
[Step 162] user:gamer loss: 4.276 grad:11.614 pred: 2.442 reward: 10.00 eps:0.18 explore regret:    - hn:0.756 hc:0.92 | source_the_debrief | Hype Beast | FDA Grants Breakthrough Status to Neuralink’s 
[Step 163] user:gamer loss: 1.543 grad: 5.556 pred: 2.451 reward:  6.82 eps:0.18 exploit regret:    - hn:0.757 hc:0.92 | source_zero_waste_europe | Hype Beast | Reformed EPR can boost EU competitiveness and 
[Step 164] user:gamer loss: 4.344 grad:13.472 pred: 2.457 reward: 10.00 eps:0.18 exploit regret:    - hn:0.758 hc:0.92 | source_frontex | Hype Beast | Frontex Launches Tactical Drone Pilot with Bul
[Step 165] user:gamer loss: 4.278 grad:12.968 pred: 2.462 reward: 10.00 eps:0.18 explore regret:    - hn:0.759 hc:0.92 | source_the_express_tribune | Hype Beast | Meta’s Brain Typing Breakthrough: A $2 Million
[Step 166] user:gamer loss: 4.343 grad:14.115 pred: 2.470 reward: 10.00 eps:0.18 exploit regret:    - hn:0.760 hc:0.92 | source_golf_digest | Hype Beast | Masters 2025: Diving deep into Augusta Nationa
[Step 167] user:gamer loss: 1.634 grad: 6.665 pred: 2.473 reward:  7.48 eps:0.18 explore regret:    - hn:0.761 hc:0.92 | source_psypost | Hype Beast | Breakthrough brain-computer interface allows m
[Step 168] user:gamer loss: 1.346 grad: 5.638 pred: 2.483 reward:  7.10 eps:0.18 explore regret:    - hn:0.762 hc:0.92 | source_itweb | Hype Beast | Meta unleashes AI power to boost SA’s creator 
[Step 169] user:gamer loss: 1.329 grad: 5.595 pred: 2.486 reward:  6.69 eps:0.18 exploit regret:    - hn:0.762 hc:0.92 | source_natural_history_museum | Hype Beast | Revolutionary AirSeq Technology Promises Break
[Step 170] user:gamer loss: 4.593 grad:14.508 pred: 2.486 reward: 10.00 eps:0.18 exploit regret: 0.00 hn:0.762 hc:0.92 | source_creative_bloq | Clickbait Shocker | This Kith x Capcom collaboration is the most u
[Step 171] user:gamer loss: 2.534 grad: 8.827 pred: 2.492 reward:  6.58 eps:0.18 explore regret:    - hn:0.763 hc:0.92 | source_daily_mail | Clickbait Shocker | Richard Branson's history of failed rocket lau
[Step 172] user:gamer loss: 2.942 grad: 9.113 pred: 2.486 reward:  3.92 eps:0.18 exploit regret:    - hn:0.762 hc:0.92 | source_innovation_news_network | Angry Rant | Battery energy storage and decentralised resil
[Step 173] user:gamer loss: 1.755 grad: 6.793 pred: 2.481 reward:  7.76 eps:0.18 exploit regret:    - hn:0.762 hc:0.92 | source_the_times | Clickbait Shocker | Revealed: Russia’s secret war in UK waters - T
[Step 174] user:gamer loss: 5.748 grad:17.031 pred: 2.475 reward: 10.00 eps:0.18 exploit regret:    - hn:0.761 hc:0.92 | source_mashable | Sarcastic Takedown | 'Alpha males' and the Manosphere: Stop listeni
[Step 175] user:gamer loss: 1.939 grad: 5.436 pred: 2.477 reward:  3.09 eps:0.17 explore regret:    - hn:0.761 hc:0.92 | source_nature | Dystopian Warning | Will bird flu spark a human pandemic? Scientis
[Step 176] user:gamer loss: 8.781 grad:19.324 pred: 2.458 reward: -4.87 eps:0.17 exploit regret:    - hn:0.759 hc:0.92 | source_npr | Analytical Deep Dive | Meet The Spleen, The Strange Little Organ That
[Step 177] user:gamer loss: 4.467 grad:13.451 pred: 2.457 reward: 10.00 eps:0.17 explore regret:    - hn:0.759 hc:0.92 | source_techcrunch | Sarcastic Takedown | Don’t fall into the toxic workplace trap - Tec
[Step 178] user:gamer loss: 3.160 grad: 9.289 pred: 2.442 reward:  2.87 eps:0.17 exploit regret:    - hn:0.757 hc:0.92 | source_whalesbook | Dystopian Warning | RBI Ethics Push: Core Banking Risk or Complian
[Step 179] user:gamer loss: 3.019 grad: 8.237 pred: 2.440 reward:  3.01 eps:0.17 exploit regret:    - hn:0.757 hc:0.92 | source_philenews | Dystopian Warning | Water scarcity flagged as top risk to Cyprus e
[Step 180] user:gamer loss: 1.924 grad: 6.213 pred: 2.426 reward:  7.78 eps:0.17 explore regret: 2.22 hn:0.755 hc:0.92 | source_homes_to_love | Clickbait Shocker | The Unexpected DIY & Craft Trends Taking Us Of
[Step 181] user:gamer loss: 3.686 grad: 9.518 pred: 2.421 reward: 10.00 eps:0.17 exploit regret:    - hn:0.754 hc:0.92 | source_forbes | Sarcastic Takedown | Toxic Work Culture: When Is It Time To Cut Bai
[Step 182] user:gamer loss: 2.008 grad: 5.817 pred: 2.409 reward:  7.77 eps:0.17 explore regret:    - hn:0.753 hc:0.92 | source_airbnb_newsroom | Clickbait Shocker | 2026 travel predictions revealed - Airbnb News
[Step 183] user:gamer loss: 1.985 grad: 5.937 pred: 2.397 reward:  7.77 eps:0.17 exploit regret:    - hn:0.751 hc:0.92 | source_the_shift_news | Sarcastic Takedown | Malta-licensed gambling company founded on tak
[Step 184] user:gamer loss: 2.116 grad: 5.239 pred: 2.399 reward:  2.76 eps:0.17 exploit regret:    - hn:0.751 hc:0.92 | source_homeland_security_today | Angry Rant | How Can DHS Leverage Border Security Technolog
[Step 185] user:gamer loss: 7.224 grad:14.206 pred: 2.379 reward: -5.05 eps:0.17 exploit regret:    - hn:0.748 hc:0.92 | arabnews.jp | Analytical Deep Dive | How young chefs and creators are transforming 
[Step 186] user:gamer loss: 2.454 grad: 5.924 pred: 2.376 reward:  4.89 eps:0.17 explore regret:    - hn:0.748 hc:0.91 | source_kalinga_tv | Angry Rant | Power Grid Issues 20 MW/80 MWh Battery Storage
[Step 187] user:gamer loss: 1.693 grad: 4.878 pred: 2.347 reward:  4.75 eps:0.17 exploit regret:    - hn:0.744 hc:0.91 | dailymail.co.uk | Angry Rant | King Charles expresses 'shock and sadness' at 
[Step 188] user:gamer loss: 1.894 grad: 6.212 pred: 2.315 reward:  7.23 eps:0.17 exploit regret:    - hn:0.740 hc:0.91 | source_autoevolution | Clickbait Shocker | This Architectural Tiny House Embraces the Out
[Step 189] user:gamer loss: 1.371 grad: 4.950 pred: 2.299 reward:  7.09 eps:0.17 exploit regret:    - hn:0.737 hc:0.91 | source_sciencealert | Clickbait Shocker | Mysterious 'Dark Oxygen' Discovered at Bottom 
[Step 190] user:gamer loss: 6.235 grad:18.301 pred: 2.271 reward: 10.00 eps:0.17 explore regret:-2.34 hn:0.733 hc:0.91 | source_manufacturing_today_india | Hype Beast | Circular economy and India’s startups: Boostin
[Step 191] user:gamer loss: 4.272 grad:14.167 pred: 2.259 reward: 10.00 eps:0.17 exploit regret:    - hn:0.732 hc:0.91 | source_yicai_global | Hype Beast | Chinese BCI Firm BrainXBot Hails Breakthrough 
[Step 192] user:gamer loss: 1.832 grad: 7.697 pred: 2.251 reward:  7.67 eps:0.17 explore regret:    - hn:0.730 hc:0.90 | source_howstuffworks | Hype Beast | 15 Of The Craziest Guinness World Records - Ho
[Step 193] user:gamer loss: 1.872 grad: 6.760 pred: 2.249 reward:  7.75 eps:0.17 explore regret:    - hn:0.730 hc:0.90 | source_business_post_nigeria | Hype Beast | Customs to Boost Border Security, Combat Smugg
[Step 194] user:gamer loss: 1.864 grad: 6.778 pred: 2.248 reward:  7.86 eps:0.17 explore regret:    - hn:0.730 hc:0.90 | source_devdiscourse | Hype Beast | Security Forces Achieve Major Breakthrough: To
[Step 195] user:gamer loss: 1.822 grad: 7.147 pred: 2.254 reward:  7.98 eps:0.17 exploit regret:    - hn:0.730 hc:0.90 | source_punch_newspapers | Hype Beast | NDIC pledges closer ties with CBN to boost ban
[Step 196] user:gamer loss: 6.231 grad:18.954 pred: 2.263 reward: 10.00 eps:0.17 exploit regret:    - hn:0.732 hc:0.91 | source_globenewswire | Hype Beast | More crop per drop: NADEC and EF Polymer deplo
[Step 197] user:gamer loss: 1.176 grad: 5.206 pred: 2.276 reward:  7.09 eps:0.17 exploit regret:    - hn:0.732 hc:0.91 | source_university_of_helsinki | Hype Beast | Urban gardening may improve human health – Res
[Step 198] user:gamer loss: 2.810 grad:10.478 pred: 2.287 reward:  7.97 eps:0.17 exploit regret:    - hn:0.733 hc:0.91 | source_physics_world | Hype Beast | Brain–computer interface that allowed a paraly
[Step 199] user:gamer loss: 1.661 grad: 6.859 pred: 2.292 reward:  7.36 eps:0.16 exploit regret:    - hn:0.735 hc:0.91 | source_nus_national_university_of_singapore | Hype Beast | Boosting the global bioeconomy - NUS - Nationa
[Step 200] user:gamer loss: 1.244 grad: 5.374 pred: 2.302 reward:  6.58 eps:0.16 exploit regret: 3.42 hn:0.736 hc:0.91 | source_university_college_london | Hype Beast | UCL celebrates 200 years: A landmark year begi
  └─ checkpoint step=200 rolling_reward_50=7.11 mean_regret_so_far=2.36
[Step 201] user:gamer loss: 8.972 grad:20.545 pred: 2.315 reward: -5.52 eps:0.16 exploit regret:    - hn:0.737 hc:0.91 | cimmyt.org | Hype Beast | Breakthroughs in agriculture for action on cli
[Step 202] user:gamer loss: 5.453 grad:16.153 pred: 2.316 reward: 10.00 eps:0.16 exploit regret:    - hn:0.736 hc:0.91 | source_chapman_newsroom | Hype Beast | Food Security Breakthrough - Chapman Newsroom
[Step 203] user:gamer loss: 1.585 grad: 6.558 pred: 2.319 reward:  7.56 eps:0.16 exploit regret:    - hn:0.738 hc:0.91 | source_engineering_news_record | Hype Beast | Using Bus Rapid Transit to Maximize Miami Mobi
[Step 204] user:gamer loss: 8.007 grad:21.322 pred: 2.323 reward: 10.00 eps:0.16 exploit regret:    - hn:0.739 hc:0.91 | source_farmonaut | Hype Beast | Lithium Mine Tesla: 2026 Breakthroughs In Sust
[Step 205] user:gamer loss: 4.728 grad:14.348 pred: 2.335 reward: 10.00 eps:0.16 exploit regret:    - hn:0.741 hc:0.91 | source_the_quantum_insider | Hype Beast | IQM and Scientek Corporation Sign Reseller Agr
[Step 206] user:gamer loss: 1.624 grad: 5.604 pred: 2.342 reward:  7.44 eps:0.16 exploit regret:    - hn:0.741 hc:0.91 | source_fox_2_detroit | Hype Beast | Brain computer chips tested at U-M Health prov
[Step 207] user:gamer loss: 7.261 grad:18.317 pred: 2.357 reward: 10.00 eps:0.16 exploit regret:    - hn:0.742 hc:0.91 | source_adobe_newsroom | Hype Beast | Adobe: Holiday Shopping Season Drove a Record 
[Step 208] user:gamer loss: 1.726 grad: 5.116 pred: 2.365 reward:  7.54 eps:0.16 explore regret:    - hn:0.744 hc:0.91 | source_architectural_record | Hype Beast | Zaha Hadid Architects’ King Abdullah Financial
[Step 209] user:gamer loss: 4.431 grad:10.848 pred: 2.395 reward: 10.00 eps:0.16 exploit regret:    - hn:0.747 hc:0.91 | source_port_technology | Hype Beast | Valenciaport launches AI initiative to boost c
[Step 210] user:gamer loss: 1.885 grad: 4.914 pred: 2.407 reward:  7.92 eps:0.16 exploit regret: 2.08 hn:0.752 hc:0.92 | source_labor_notes | Hype Beast | In Major Breakthrough, Volkswagen Auto Workers
[Step 211] user:gamer loss: 2.528 grad: 6.493 pred: 2.433 reward:  6.95 eps:0.16 explore regret:    - hn:0.752 hc:0.92 | source_money_saving_expert | Hype Beast | How to boost your Nectar points - Money Saving
[Step 212] user:gamer loss: 1.771 grad: 5.199 pred: 2.448 reward:  6.90 eps:0.16 exploit regret:    - hn:0.756 hc:0.92 | source_interesting_engineering | Hype Beast | Mind over machine: Neuralink’s breakthrough le
[Step 213] user:gamer loss: 3.783 grad: 7.586 pred: 2.452 reward: 10.00 eps:0.16 exploit regret:    - hn:0.756 hc:0.92 | source_digitimes | Hype Beast | China eyes 2027 BCI breakthrough as it races t
[Step 214] user:gamer loss: 2.582 grad: 6.573 pred: 2.475 reward:  6.91 eps:0.16 exploit regret:    - hn:0.758 hc:0.92 | source_nairametrics | Hype Beast | Dangote Boosts Abuja Trade Fair - Nairametrics
[Step 215] user:gamer loss: 7.222 grad:13.642 pred: 2.486 reward: -5.22 eps:0.16 exploit regret:    - hn:0.759 hc:0.92 | source_the_business_journals | Hype Beast | Dayton sees $4.2M record-breaking estate sale 
[Step 216] user:gamer loss: 1.786 grad: 4.933 pred: 2.486 reward:  7.99 eps:0.16 exploit regret:    - hn:0.759 hc:0.92 | theguardian.com | Hype Beast | Gray wolf appears in Los Angeles county for fi
[Step 217] user:gamer loss: 1.856 grad: 5.057 pred: 2.484 reward:  6.76 eps:0.16 explore regret:    - hn:0.758 hc:0.92 | source_the_bridge_chronicle | Hype Beast | Elon Musk Claims "Full Body Functionality" Pos
[Step 218] user:gamer loss: 2.595 grad: 6.317 pred: 2.485 reward:  6.82 eps:0.16 exploit regret:    - hn:0.760 hc:0.92 | source_impakter | Hype Beast | ESG News Recap: COP30 Food Waste Breakthrough 
[Step 219] user:gamer loss: 6.435 grad:14.787 pred: 2.482 reward: 10.00 eps:0.16 exploit regret:    - hn:0.758 hc:0.92 | transitcenter.org | Hype Beast | All Transportation is Local: Rewrite the Rules
[Step 220] user:gamer loss: 1.682 grad: 4.814 pred: 2.479 reward:  7.39 eps:0.16 explore regret: 2.61 hn:0.758 hc:0.92 | source_the_debrecen_sun | Hype Beast | ECB’s Cipollone: Digital Euro to Cut Payment C
[Step 221] user:gamer loss: 2.581 grad: 6.297 pred: 2.483 reward:  6.93 eps:0.16 exploit regret:    - hn:0.758 hc:0.92 | source_the_tech_buzz | Hype Beast | Google.org Deploys $20M AI Fund Across 12 Scie
[Step 222] user:gamer loss: 3.950 grad: 9.296 pred: 2.490 reward: 10.00 eps:0.15 explore regret:    - hn:0.758 hc:0.92 | source_engineering_news_record | Hype Beast | Atlanta Readies for Next Bus Rapid Transit Pro
[Step 223] user:gamer loss: 4.004 grad: 9.680 pred: 2.481 reward: 10.00 eps:0.15 exploit regret:    - hn:0.759 hc:0.92 | source_the_debrief | Clickbait Shocker | Secrets of a Lost Empire’s Mysterious 200-Mile
[Step 224] user:gamer loss: 3.993 grad:10.912 pred: 2.496 reward: 10.00 eps:0.15 exploit regret:    - hn:0.762 hc:0.92 | source_abc7_los_angeles | Hype Beast | What is NAD? The supplement may help boost lon
[Step 225] user:gamer loss: 2.494 grad: 6.440 pred: 2.489 reward:  7.64 eps:0.15 exploit regret:    - hn:0.760 hc:0.92 | source_frontiers | Hype Beast | The fight to end hunger: Research Topics explo
[Step 226] user:gamer loss: 2.536 grad: 6.811 pred: 2.493 reward:  6.97 eps:0.15 exploit regret:    - hn:0.760 hc:0.92 | source_xinhua | Hype Beast | Brain-computer interface makes breakthrough by
[Step 227] user:gamer loss: 2.467 grad: 6.946 pred: 2.502 reward:  7.81 eps:0.15 exploit regret:    - hn:0.759 hc:0.92 | theguardian.com | Clickbait Shocker | Mexico factory that imports US toxic waste to 
[Step 228] user:gamer loss: 1.744 grad: 4.816 pred: 2.477 reward:  7.40 eps:0.15 exploit regret:    - hn:0.757 hc:0.92 | source_wisconsin_state_farmer | Hype Beast | New report identifies five breakthroughs to ad
[Step 229] user:gamer loss: 4.561 grad:10.688 pred: 2.480 reward: 10.00 eps:0.15 exploit regret:    - hn:0.757 hc:0.92 | source_food_safety_news | Hype Beast | Australian breakthrough is the new alternative
[Step 230] user:gamer loss: 1.676 grad: 5.082 pred: 2.470 reward:  7.99 eps:0.15 exploit regret: 2.01 hn:0.758 hc:0.92 | source_technology_org | Hype Beast | FDA Grants “Breakthrough” Status to Neuralink’
[Step 231] user:gamer loss: 2.438 grad: 6.899 pred: 2.472 reward:  6.88 eps:0.15 explore regret:    - hn:0.758 hc:0.92 | source_the_daily_galaxy | Clickbait Shocker | Archaeologist Claims to Have Found Atlantis Ju
[Step 232] user:gamer loss: 3.861 grad: 9.660 pred: 2.469 reward: 10.00 eps:0.15 exploit regret:    - hn:0.757 hc:0.92 | source_empower | Hype Beast | Valentine’s Day spending set to reach record $
[Step 233] user:gamer loss: 1.712 grad: 6.002 pred: 2.482 reward:  6.92 eps:0.15 exploit regret:    - hn:0.758 hc:0.92 | dailymail.co.uk | Clickbait Shocker | EDEN CONFIDENTIAL: Anita Rani says Heathcliff 
[Step 234] user:gamer loss: 1.788 grad: 5.585 pred: 2.462 reward:  6.78 eps:0.15 explore regret:    - hn:0.757 hc:0.92 | source_the_kyiv_independent | Hype Beast | Analysis: Ukraine learns hard lessons from Rus
[Step 235] user:gamer loss: 7.809 grad:16.464 pred: 2.479 reward: -4.96 eps:0.15 exploit regret:    - hn:0.759 hc:0.92 | source_arab_news_pk | Hype Beast | GCC debt markets poised for major growth in 20
[Step 236] user:gamer loss: 3.924 grad:10.699 pred: 2.463 reward: 10.00 eps:0.15 explore regret:    - hn:0.756 hc:0.92 | source_forefront_ng | Hype Beast | Bank Failure: NDIC, EFCC Boost Partnership On 
[Step 237] user:gamer loss: 1.617 grad: 5.060 pred: 2.458 reward:  7.46 eps:0.15 exploit regret:    - hn:0.758 hc:0.92 | source_the_breakthrough_institute | Hype Beast | Commercializing Genetically Modified Crops in 
[Step 238] user:gamer loss: 3.797 grad: 9.836 pred: 2.454 reward: 10.00 eps:0.15 exploit regret:    - hn:0.756 hc:0.92 | source_south_china_morning_post | Hype Beast | China sows seeds of agricultural self-reliance
[Step 239] user:gamer loss: 4.463 grad:11.165 pred: 2.463 reward: 10.00 eps:0.15 exploit regret:    - hn:0.756 hc:0.92 | source_travel_and_tour_world | Hype Beast | Valencian Community Tourism Hits Record 11.7 M
[Step 240] user:gamer loss: 2.283 grad: 6.132 pred: 2.459 reward:  7.49 eps:0.15 exploit regret: 2.51 hn:0.757 hc:0.92 | goodnewsnetwork.org | Hype Beast | Nebraska Woman Learns to Row, Then Becomes Fir
[Step 241] user:gamer loss: 4.897 grad:12.047 pred: 2.468 reward: 10.00 eps:0.15 exploit regret:    - hn:0.758 hc:0.92 | source_manila_bulletin | Hype Beast | AboitizPower moves to boost grid stability wit
[Step 242] user:gamer loss: 2.247 grad: 6.252 pred: 2.466 reward:  7.44 eps:0.15 exploit regret:    - hn:0.757 hc:0.92 | fiercebiotech.com | Hype Beast | <a href="https://www.fiercebiotech.com/biotech
[Step 243] user:gamer loss: 1.934 grad: 5.299 pred: 2.457 reward:  6.95 eps:0.15 explore regret:    - hn:0.757 hc:0.92 | source_hothardware | Hype Beast | Synchron's Brain Implant Breakthrough Lets Use
[Step 244] user:gamer loss: 4.634 grad: 9.636 pred: 2.455 reward: 10.00 eps:0.15 explore regret:    - hn:0.757 hc:0.92 | source_mirage_news | Hype Beast | Spatial Imaging Breakthroughs Boost Wheat Yiel
[Step 245] user:gamer loss: 1.983 grad: 5.171 pred: 2.463 reward:  6.59 eps:0.15 exploit regret:    - hn:0.758 hc:0.92 | source_alwihda_info | Hype Beast | China makes breakthrough in brain-computer int
[Step 246] user:gamer loss: 1.865 grad: 5.697 pred: 2.469 reward:  7.06 eps:0.14 exploit regret:    - hn:0.758 hc:0.92 | source_unilad_tech | Hype Beast | Elon Musk’s company achieves major breakthroug
[Step 247] user:gamer loss: 3.837 grad:10.513 pred: 2.476 reward: 10.00 eps:0.14 exploit regret:    - hn:0.757 hc:0.92 | theguardian.com | Clickbait Shocker | Mexico moves to combat pollution following Gua
