🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight dave positive_rate=0.860 (sample=500)
🔎 Preflight sarah positive_rate=0.892 (sample=500)
🔎 Preflight gamer positive_rate=0.212 (sample=500)
🔎 Preflight investor positive_rate=0.812 (sample=500)
🔎 Preflight low_mood_audit positive_rate=0.938 (sample=500)
🔎 Preflight ai_doom positive_rate=0.290 (sample=500)
🔎 Preflight contrarian_chaos phase2_positive_rate=0.648 (sample=500)

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=400 | bot=multi
[Step 116] user:investor loss: 0.647 grad: 2.796 pred: 3.013 reward:  7.43 eps:0.21 exploit regret:    - hn:0.814 hc:0.95 | source_digital_camera_world | Analytical Deep Dive | Is Pentax Film Project about to stage a sensat
[Step 117] user:dave  loss: 3.275 grad:19.162 pred: 2.989 reward:  4.19 eps:0.21 exploit regret:    - hn:0.814 hc:0.95 | source_windows_central | Analytical Deep Dive | Warhammer 40,000: Dark Heresy presents its Inv
[Step 118] user:low_mood_audit loss: 4.892 grad:24.705 pred: 2.993 reward: 10.00 eps:0.21 exploit regret:    - hn:0.811 hc:0.95 | source_marie_claire_uk | Analytical Deep Dive | As a Sustainability Editor, I'm a big fan of T
[Step 119] user:investor loss: 5.025 grad:21.365 pred: 2.898 reward:  4.47 eps:0.21 exploit regret:    - hn:0.806 hc:0.95 | source_the_breakthrough_institute | Hype Beast | Congress Punts on the Farm Bill (Again), Let’s
[Step 120] user:contrarian_chaos loss: 9.620 grad:29.827 pred: 2.812 reward: 10.00 eps:0.21 exploit regret: 0.00 hn:0.798 hc:0.94 | source_cnbc | Analytical Deep Dive | Trump's Fed pressure campaign will lead to hig
[Step 121] user:gamer loss: 7.246 grad:20.245 pred: 2.735 reward: -5.12 eps:0.35 explore regret:    - hn:0.790 hc:0.94 | source_saastr | Analytical Deep Dive | From Zero to Replit Fluent: How 9 Apps and 500
[Step 122] user:contrarian_chaos loss: 4.038 grad:13.144 pred: 2.662 reward:  3.80 eps:0.20 exploit regret:    - hn:0.782 hc:0.93 | 9to5mac.com | Angry Rant | ‘Dystopian’ Ring Search Party feature sparks p
[Step 123] user:contrarian_chaos loss: 4.722 grad:10.949 pred: 2.539 reward: 10.00 eps:0.20 exploit regret:    - hn:0.769 hc:0.93 | todayonline.com | Analytical Deep Dive | Explainer: Why do hoax social media challenges
[Step 124] user:contrarian_chaos loss: 2.090 grad: 5.676 pred: 2.481 reward:  7.33 eps:0.20 exploit regret:    - hn:0.761 hc:0.92 | convergence-now.com | Analytical Deep Dive | Top 10 Best Startup Business Ideas for 2026: W
[Step 125] user:gamer loss: 5.399 grad: 7.927 pred: 2.457 reward: -5.10 eps:0.35 exploit regret:    - hn:0.759 hc:0.92 | source_west_seattle_blog | Analytical Deep Dive | WEST SEATTLE LIGHT RAIL: Comment countdown con
[Step 126] user:low_mood_audit loss: 2.632 grad: 5.030 pred: 2.434 reward:  7.15 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_the_times | Analytical Deep Dive | Virgin Orbit: how the UK’s first space launch 
[Step 127] user:low_mood_audit loss: 2.393 grad: 5.153 pred: 2.420 reward:  7.80 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_institutional_investor | Analytical Deep Dive | Exposure of Wall Street’s ‘Dirty Little Secret
[Step 128] user:investor loss: 3.113 grad: 5.158 pred: 2.420 reward:  7.70 eps:0.20 exploit regret:    - hn:0.754 hc:0.92 | source_hackaday | Analytical Deep Dive | A Hacker’s Guide To JTAG - Hackaday
[Step 129] user:sarah loss: 3.016 grad: 5.107 pred: 2.414 reward:  7.26 eps:0.20 explore regret:    - hn:0.753 hc:0.92 | source_harper_s_bazaar | Analytical Deep Dive | 6 Sneaker Trends That Will Be Everywhere in 20
[Step 130] user:dave  loss: 3.312 grad: 5.170 pred: 2.408 reward:  4.67 eps:0.20 explore regret: 5.33 hn:0.752 hc:0.92 | source_discovery_alert | Analytical Deep Dive | Carney Yukon Seeks BC Grid Connection for Mini
[Step 131] user:dave  loss: 3.263 grad: 5.761 pred: 2.402 reward:  4.21 eps:0.20 exploit regret:    - hn:0.752 hc:0.92 | source_institutional_investor | Analytical Deep Dive | Exposure of Wall Street’s ‘Dirty Little Secret
[Step 132] user:gamer loss: 5.251 grad: 8.567 pred: 2.391 reward: -4.74 eps:0.35 exploit regret:    - hn:0.750 hc:0.92 | source_minnpost | Analytical Deep Dive | Inside Minnesotans’ moonshot to cover rent for
[Step 133] user:investor loss: 5.479 grad: 9.194 pred: 2.372 reward: -5.32 eps:0.20 exploit regret:    - hn:0.747 hc:0.91 | 3dprint.com | Analytical Deep Dive | Thrōn made Launches Kickstarter Campaign for 3
[Step 134] user:ai_doom loss: 5.390 grad: 9.654 pred: 2.344 reward: -5.06 eps:0.35 exploit regret:    - hn:0.744 hc:0.91 | source_institutional_investor | Analytical Deep Dive | Exposure of Wall Street’s ‘Dirty Little Secret
[Step 135] user:dave  loss: 2.939 grad: 5.971 pred: 2.307 reward:  6.21 eps:0.20 exploit regret:    - hn:0.739 hc:0.91 | source_yahoo_finance | Analytical Deep Dive | What Are Solarpunk and Lunarpunk Anyway? - Yah
[Step 136] user:ai_doom loss: 5.276 grad: 8.809 pred: 2.272 reward: -5.32 eps:0.35 exploit regret:    - hn:0.734 hc:0.91 | source_duke_center_for_firearms_law | Analytical Deep Dive | Range and State-Level Gun Rights Restoration -
[Step 137] user:contrarian_chaos loss: 4.798 grad: 8.980 pred: 2.234 reward: 10.00 eps:0.20 exploit regret:    - hn:0.728 hc:0.90 | source_nature | Analytical Deep Dive | Engineering biology applications for environme
[Step 138] user:gamer loss: 5.080 grad: 7.549 pred: 2.208 reward: -5.41 eps:0.35 exploit regret:    - hn:0.724 hc:0.90 | source_nature | Analytical Deep Dive | Engineering biology applications for environme
[Step 139] user:contrarian_chaos loss: 3.888 grad: 6.024 pred: 2.178 reward: 10.00 eps:0.20 explore regret:    - hn:0.719 hc:0.90 | zdnet.com | Analytical Deep Dive | The best Presidents' Day phone sales live now
[Step 140] user:contrarian_chaos loss: 2.493 grad: 5.136 pred: 2.162 reward:  7.21 eps:0.20 exploit regret: 2.79 hn:0.717 hc:0.90 | source_duke_center_for_firearms_law | Analytical Deep Dive | Range and State-Level Gun Rights Restoration -
[Step 141] user:investor loss: 2.553 grad: 5.355 pred: 2.139 reward:  7.71 eps:0.20 exploit regret:    - hn:0.713 hc:0.89 | source_nature | Analytical Deep Dive | Edible urbanism 5.0 - Nature
[Step 142] user:low_mood_audit loss: 2.115 grad: 5.406 pred: 2.121 reward:  7.47 eps:0.20 explore regret:    - hn:0.000 hc:0.00 | source_nature | Analytical Deep Dive | The world’s road to water scarcity: shortage a
[Step 143] user:ai_doom loss: 4.921 grad: 7.809 pred: 2.104 reward: -5.43 eps:0.35 exploit regret:    - hn:0.708 hc:0.89 | zdnet.com | Analytical Deep Dive | The best Presidents' Day phone sales live now
[Step 144] user:low_mood_audit loss: 1.966 grad: 5.749 pred: 2.081 reward:  7.72 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | zdnet.com | Analytical Deep Dive | The best Presidents' Day phone sales live now
[Step 145] user:ai_doom loss: 4.781 grad: 9.532 pred: 2.062 reward: -4.75 eps:0.35 exploit regret:    - hn:0.701 hc:0.89 | source_cnn | Analytical Deep Dive | Minneapolis is becoming a critical testing gro
[Step 146] user:dave  loss: 2.389 grad: 6.463 pred: 2.048 reward:  5.65 eps:0.20 explore regret:    - hn:0.698 hc:0.89 | nssmag.com | Analytical Deep Dive | Indie Sleaze Revival: The Cringiest & Worst Pa
[Step 147] user:gamer loss: 5.091 grad:11.429 pred: 2.029 reward: -5.39 eps:0.35 exploit regret:    - hn:0.695 hc:0.88 | zdnet.com | Analytical Deep Dive | The best Presidents' Day phone sales live now
[Step 148] user:gamer loss: 5.004 grad:11.993 pred: 2.006 reward: -5.13 eps:0.35 exploit regret:    - hn:0.691 hc:0.88 | source_nvidia_newsroom | Analytical Deep Dive | NVIDIA Kicks Off the Next Generation of AI Wit
[Step 149] user:investor loss: 1.962 grad: 6.242 pred: 1.976 reward:  7.64 eps:0.19 exploit regret:    - hn:0.686 hc:0.88 | zdnet.com | Analytical Deep Dive | The best Presidents' Day phone sales live now
[Step 150] user:gamer loss: 5.119 grad:13.222 pred: 1.959 reward: -5.47 eps:0.35 exploit regret:15.47 hn:0.683 hc:0.88 | 9to5mac.com | Analytical Deep Dive | Apple’s new ‘MacBook’ is coming: Here’s every 
  └─ checkpoint step=150 rolling_reward_50=4.04 mean_regret_so_far=8.22
[Step 151] user:investor loss: 1.915 grad: 6.608 pred: 1.936 reward:  7.65 eps:0.19 exploit regret:    - hn:0.679 hc:0.87 | source_nvidia_newsroom | Analytical Deep Dive | NVIDIA Kicks Off the Next Generation of AI Wit
[Step 152] user:ai_doom loss: 4.811 grad:14.122 pred: 1.929 reward: -4.54 eps:0.35 explore regret:    - hn:0.678 hc:0.87 | parametric-architecture.com | Analytical Deep Dive | TA.TAMU Marks New Era in Generative 3D-Printed
[Step 153] user:gamer loss: 5.080 grad:14.850 pred: 1.911 reward: -5.40 eps:0.35 exploit regret:    - hn:0.674 hc:0.87 | source_economic_policy_institute | Analytical Deep Dive | Strong unions, stronger communities and democr
[Step 154] user:contrarian_chaos loss: 1.954 grad: 7.268 pred: 1.884 reward:  7.98 eps:0.19 exploit regret:    - hn:0.669 hc:0.87 | source_lexology | Analytical Deep Dive | AI Heists Santa’s Secrets: Elfred’s High-Tech 
[Step 155] user:contrarian_chaos loss: 6.456 grad:18.128 pred: 1.876 reward: 10.00 eps:0.19 explore regret:    - hn:0.667 hc:0.87 | source_cnn | Analytical Deep Dive | These tech leaders donated to Trump. Now they’
[Step 156] user:sarah loss: 1.881 grad: 7.143 pred: 1.862 reward:  7.49 eps:0.19 exploit regret:    - hn:0.665 hc:0.87 | source_u_s_bank | Analytical Deep Dive | Federal Reserve Calibrates Interest Rate Polic
[Step 157] user:ai_doom loss: 1.911 grad: 7.287 pred: 1.863 reward:  7.74 eps:0.35 exploit regret:    - hn:0.665 hc:0.87 | source_lexology | Analytical Deep Dive | AI Heists Santa’s Secrets: Elfred’s High-Tech 
[Step 158] user:investor loss: 1.868 grad: 7.394 pred: 1.880 reward:  7.75 eps:0.19 exploit regret:    - hn:0.668 hc:0.87 | source_center_for_democracy_and_technology | Analytical Deep Dive | Student Activity Monitoring Software: Research
[Step 159] user:low_mood_audit loss: 1.415 grad: 7.525 pred: 1.907 reward:  7.25 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_reuters | Analytical Deep Dive | Databricks raises $5 billion in latest funding
[Step 160] user:gamer loss: 4.953 grad:16.857 pred: 1.949 reward: -4.82 eps:0.35 exploit regret:14.82 hn:0.681 hc:0.88 | source_fox_news | Analytical Deep Dive | New York Times essay argues Queen Elizabeth 'h
[Step 161] user:sarah loss: 1.667 grad: 7.527 pred: 1.981 reward:  7.71 eps:0.19 exploit regret:    - hn:0.687 hc:0.88 | bbc.com | Analytical Deep Dive | What we know about the abduction of Savannah G
[Step 162] user:gamer loss: 5.420 grad:19.019 pred: 2.031 reward: -5.39 eps:0.35 explore regret:    - hn:0.696 hc:0.88 | source_yicai_global | Analytical Deep Dive | Shanghai Starts Building China's First Brain-C
[Step 163] user:sarah loss: 6.706 grad:20.922 pred: 2.047 reward: 10.00 eps:0.19 exploit regret:    - hn:0.698 hc:0.89 | source_institutional_investor | Analytical Deep Dive | Exposure of Wall Street’s ‘Dirty Little Secret
[Step 164] user:contrarian_chaos loss: 6.693 grad:21.052 pred: 2.069 reward: 10.00 eps:0.19 exploit regret:    - hn:0.702 hc:0.89 | source_local_news_matters | Analytical Deep Dive | Planting Justice cultivates urban agriculture,
[Step 165] user:sarah loss: 1.548 grad: 6.736 pred: 2.046 reward:  7.22 eps:0.19 exploit regret:    - hn:0.698 hc:0.89 | source_how_to_geek | Analytical Deep Dive | Bring Back the Weird: The 10 Best Strange PC C
[Step 166] user:dave  loss: 6.576 grad:20.427 pred: 2.066 reward: 10.00 eps:0.19 exploit regret:    - hn:0.701 hc:0.89 | source_the_arizona_republic | Analytical Deep Dive | Construct CRM, AI-Powered eCommerce Platform, 
[Step 167] user:contrarian_chaos loss: 1.604 grad: 6.702 pred: 2.065 reward:  7.76 eps:0.19 exploit regret:    - hn:0.701 hc:0.89 | source_how_to_geek | Analytical Deep Dive | Bring Back the Weird: The 10 Best Strange PC C
[Step 168] user:gamer loss: 5.158 grad:16.030 pred: 2.073 reward: -5.11 eps:0.35 explore regret:    - hn:0.703 hc:0.89 | source_men_s_health | Analytical Deep Dive | We Logged Thousands of Steps to Find the 10 Be
[Step 169] user:contrarian_chaos loss: 5.811 grad:16.606 pred: 2.069 reward: 10.00 eps:0.19 exploit regret:    - hn:0.702 hc:0.89 | source_nonprofit_quarterly | Analytical Deep Dive | Fire, Community, and Mutual Aid: A Personal Ac
[Step 170] user:gamer loss: 5.102 grad:14.255 pred: 2.052 reward: -5.40 eps:0.35 explore regret:15.40 hn:0.699 hc:0.89 | source_trend_hunter | Analytical Deep Dive | Compact Modular Handhelds - Trend Hunter
[Step 171] user:low_mood_audit loss: 1.387 grad: 6.175 pred: 2.032 reward:  7.27 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_techtarget | Analytical Deep Dive | 4 trends spurring the evolution of network har
[Step 172] user:gamer loss: 4.790 grad:11.733 pred: 2.022 reward: -5.14 eps:0.35 exploit regret:    - hn:0.694 hc:0.88 | source_tech_in_asia | Analytical Deep Dive | AppWorks joins $7m series A for ID waste start
[Step 173] user:contrarian_chaos loss: 4.735 grad:11.433 pred: 2.018 reward: 10.00 eps:0.19 exploit regret:    - hn:0.693 hc:0.88 | source_stuff | Analytical Deep Dive | Photographers put the world on film and bring 
[Step 174] user:dave  loss: 2.571 grad: 7.254 pred: 2.013 reward:  5.73 eps:0.18 explore regret:    - hn:0.692 hc:0.88 | zdnet.com | Analytical Deep Dive | The best Android tablets of 2026: Lab tested, 
[Step 175] user:low_mood_audit loss: 5.709 grad:13.289 pred: 2.009 reward: 10.00 eps:0.18 exploit regret:    - hn:0.692 hc:0.88 | source_motortrend | Analytical Deep Dive | 2026 Volkswagen Jetta Review: Expert Insights,
[Step 176] user:ai_doom loss: 2.147 grad: 5.400 pred: 2.006 reward:  7.35 eps:0.35 exploit regret:    - hn:0.691 hc:0.88 | source_the_daily_star | Analytical Deep Dive | The anti-dystopia: Why solarpunk is the future
[Step 177] user:investor loss: 2.243 grad: 5.455 pred: 2.011 reward:  7.64 eps:0.18 explore regret:    - hn:0.692 hc:0.88 | source_cnn | Analytical Deep Dive | Minneapolis is becoming a critical testing gro
[Step 178] user:ai_doom loss: 4.638 grad: 8.187 pred: 2.020 reward: -5.36 eps:0.18 exploit regret:    - hn:0.694 hc:0.88 | source_chatham_house | Analytical Deep Dive | Trump’s Davos speech backed off escalation in 
[Step 179] user:contrarian_chaos loss: 4.545 grad: 8.756 pred: 2.020 reward: 10.00 eps:0.18 exploit regret:    - hn:0.694 hc:0.88 | parametric-architecture.com | Analytical Deep Dive | TA.TAMU Marks New Era in Generative 3D-Printed
[Step 180] user:sarah loss: 2.506 grad: 5.915 pred: 2.021 reward:  7.15 eps:0.18 explore regret: 2.85 hn:0.694 hc:0.88 | zdnet.com | Analytical Deep Dive | After years of use, here's why I still wear my
[Step 181] user:ai_doom loss: 2.207 grad: 5.422 pred: 2.023 reward:  7.54 eps:0.18 explore regret:    - hn:0.694 hc:0.88 | source_the_sun_nigeria | Analytical Deep Dive | NDIC pledges speedy payment for depositors of 
[Step 182] user:low_mood_audit loss: 2.431 grad: 6.107 pred: 2.027 reward:  7.60 eps:0.18 exploit regret:    - hn:0.695 hc:0.88 | source_cnn | Analytical Deep Dive | Fact check: Biden again falsely claims inflati
[Step 183] user:investor loss: 4.729 grad: 9.619 pred: 2.034 reward: -5.24 eps:0.18 exploit regret:    - hn:0.696 hc:0.88 | source_the_economic_times | Analytical Deep Dive | SpaceX merger provides lifeline for Elon Musk’
[Step 184] user:sarah loss: 1.979 grad: 6.181 pred: 2.032 reward:  7.25 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_cnn | Analytical Deep Dive | These tech leaders donated to Trump. Now they’
[Step 185] user:gamer loss: 4.780 grad:10.169 pred: 2.035 reward: -5.24 eps:0.35 explore regret:    - hn:0.696 hc:0.88 | source_the_daily_star | Analytical Deep Dive | The anti-dystopia: Why solarpunk is the future
[Step 186] user:dave  loss: 2.547 grad: 7.185 pred: 2.031 reward:  7.00 eps:0.18 explore regret:    - hn:0.696 hc:0.88 | source_gulf_news | Analytical Deep Dive | Perfumes, sweets or alcohol? ACI study in Duba
[Step 187] user:investor loss: 4.944 grad:12.040 pred: 2.032 reward: -5.33 eps:0.18 exploit regret:    - hn:0.696 hc:0.88 | source_linkedin | Analytical Deep Dive | 𝐈𝐊𝐄𝐀-𝐛𝐚𝐜𝐤𝐞𝐝 𝐎-𝐅𝐚𝐫𝐦𝐬 𝐚𝐜𝐜𝐞𝐥𝐞𝐫𝐚𝐭𝐨𝐫 𝐭𝐚𝐫𝐠𝐞𝐭𝐬 𝐊𝐞𝐧𝐲𝐚–
[Step 188] user:investor loss: 5.708 grad:13.448 pred: 2.011 reward: 10.00 eps:0.18 exploit regret:    - hn:0.692 hc:0.88 | theguardian.com | Analytical Deep Dive | Storm Leonardo devastates southern Portugal an
[Step 189] user:ai_doom loss: 4.889 grad:11.830 pred: 2.002 reward: -5.36 eps:0.18 explore regret:    - hn:0.691 hc:0.88 | source_atlanta_news_first | Somber Reflection | ‘It scares me to death’ | Study finds high PFA
[Step 190] user:low_mood_audit loss: 2.089 grad: 6.687 pred: 1.982 reward:  7.55 eps:0.18 exploit regret: 2.45 hn:0.687 hc:0.88 | source_investopedia | Analytical Deep Dive | Inflation and Stagflation: Key Differences Exp
[Step 191] user:investor loss: 1.999 grad: 5.919 pred: 1.965 reward:  7.72 eps:0.18 exploit regret:    - hn:0.684 hc:0.88 | source_motortrend | Analytical Deep Dive | 2026 Honda Civic Review: Expert Insights, Pric
[Step 192] user:sarah loss: 1.920 grad: 7.245 pred: 1.963 reward:  7.18 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_motortrend | Analytical Deep Dive | 2026 Honda Civic Review: Expert Insights, Pric
[Step 193] user:sarah loss: 1.898 grad: 5.878 pred: 1.956 reward:  7.25 eps:0.18 explore regret:    - hn:0.682 hc:0.88 | parametric-architecture.com | Analytical Deep Dive | TA.TAMU Marks New Era in Generative 3D-Printed
[Step 194] user:ai_doom loss: 4.679 grad:12.613 pred: 1.967 reward: -4.71 eps:0.18 exploit regret:    - hn:0.684 hc:0.88 | source_motortrend | Analytical Deep Dive | 2026 Honda Civic Review: Expert Insights, Pric
[Step 195] user:dave  loss: 1.834 grad: 6.213 pred: 1.965 reward:  7.49 eps:0.18 exploit regret:    - hn:0.684 hc:0.88 | source_motortrend | Analytical Deep Dive | 2026 Honda Civic Review: Expert Insights, Pric
[Step 196] user:ai_doom loss: 6.178 grad:16.472 pred: 1.971 reward: 10.00 eps:0.35 exploit regret:    - hn:0.685 hc:0.88 | source_reuters | Analytical Deep Dive | Databricks raises $5 billion in latest funding
[Step 197] user:ai_doom loss: 4.768 grad:14.099 pred: 1.983 reward: -4.53 eps:0.18 exploit regret:    - hn:0.687 hc:0.88 | source_stuff | Analytical Deep Dive | Photographers put the world on film and bring 
[Step 198] user:contrarian_chaos loss: 1.801 grad: 6.247 pred: 1.969 reward:  7.42 eps:0.18 exploit regret:    - hn:0.684 hc:0.88 | source_motortrend | Analytical Deep Dive | 2026 Honda Civic Review: Expert Insights, Pric
[Step 199] user:low_mood_audit loss: 1.740 grad: 6.743 pred: 1.997 reward:  7.74 eps:0.18 exploit regret:    - hn:0.689 hc:0.88 | source_the_daily_star | Analytical Deep Dive | The anti-dystopia: Why solarpunk is the future
[Step 200] user:ai_doom loss: 4.870 grad:14.653 pred: 2.000 reward: -4.61 eps:0.17 exploit regret:14.61 hn:0.690 hc:0.88 | source_the_business_journals | Analytical Deep Dive | The National Observer: Number of international
  └─ checkpoint step=200 rolling_reward_50=4.19 mean_regret_so_far=8.67
[Step 201] user:ai_doom loss: 4.971 grad:15.055 pred: 2.007 reward: -4.80 eps:0.35 explore regret:    - hn:0.691 hc:0.88 | source_6sqft | Analytical Deep Dive | NYCxDESIGN 2024: What to see and do at New Yor
[Step 202] user:investor loss: 1.735 grad: 6.549 pred: 1.999 reward:  7.66 eps:0.17 explore regret:    - hn:0.690 hc:0.88 | androidauthority.com | Analytical Deep Dive | Google finally sorts out those confusing Play 
[Step 203] user:low_mood_audit loss: 1.674 grad: 6.719 pred: 2.022 reward:  7.62 eps:0.17 exploit regret:    - hn:0.694 hc:0.88 | source_the_financial_express | Analytical Deep Dive | Who is Priyank Sukhija: The owner of Diablo, L
[Step 204] user:dave  loss: 2.242 grad: 9.639 pred: 2.031 reward:  5.19 eps:0.17 exploit regret:    - hn:0.695 hc:0.88 | source_nature | Analytical Deep Dive | Engineering biology applications for environme
[Step 205] user:investor loss: 1.592 grad: 6.716 pred: 2.057 reward:  7.43 eps:0.17 exploit regret:    - hn:0.700 hc:0.89 | parametric-architecture.com | Analytical Deep Dive | TA.TAMU Marks New Era in Generative 3D-Printed
[Step 206] user:contrarian_chaos loss: 1.773 grad: 8.161 pred: 2.065 reward:  7.74 eps:0.17 exploit regret:    - hn:0.701 hc:0.89 | source_digital_commerce_360 | Analytical Deep Dive | Retailers weigh in on early TikTok Shop result
[Step 207] user:sarah loss: 6.150 grad:18.973 pred: 2.107 reward: 10.00 eps:0.17 exploit regret:    - hn:0.708 hc:0.89 | source_meritalk | Analytical Deep Dive | DHS Pours $115M Into Counter-Drone Tech for Wo
[Step 208] user:sarah loss:11.677 grad:32.164 pred: 2.111 reward: 10.00 eps:0.17 exploit regret:    - hn:0.709 hc:0.89 | source_the_critic | Analytical Deep Dive | Symptoms of mistrust | Lola Salem - The Critic
[Step 209] user:sarah loss: 2.115 grad:10.322 pred: 2.123 reward:  7.10 eps:0.17 exploit regret:    - hn:0.711 hc:0.89 | androidauthority.com | Analytical Deep Dive | Google finally sorts out those confusing Play 
[Step 210] user:contrarian_chaos loss: 1.520 grad: 6.495 pred: 2.113 reward:  7.39 eps:0.17 exploit regret: 2.61 hn:0.709 hc:0.89 | androidauthority.com | Analytical Deep Dive | Google finally sorts out those confusing Play 
[Step 211] user:ai_doom loss: 5.620 grad:17.019 pred: 2.109 reward: -5.55 eps:0.35 explore regret:    - hn:0.709 hc:0.89 | source_aarp | Analytical Deep Dive | From Travel to Taylor Swift, Hidden Fees Are R
[Step 212] user:ai_doom loss: 5.705 grad:17.830 pred: 2.139 reward: -5.47 eps:0.35 exploit regret:    - hn:0.713 hc:0.89 | androidauthority.com | Analytical Deep Dive | Google finally sorts out those confusing Play 
[Step 213] user:dave  loss: 5.930 grad:17.941 pred: 2.123 reward: 10.00 eps:0.17 explore regret:    - hn:0.711 hc:0.89 | androidauthority.com | Analytical Deep Dive | Google finally sorts out those confusing Play 
[Step 214] user:sarah loss: 1.459 grad: 7.878 pred: 2.102 reward:  7.81 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_bbc | Analytical Deep Dive | WECA transport logo contest 'devalues' graphic
[Step 215] user:investor loss: 1.645 grad: 6.150 pred: 2.075 reward:  7.61 eps:0.17 exploit regret:    - hn:0.703 hc:0.89 | aol.com | Analytical Deep Dive | How frigid weather stresses the US electric gr
[Step 216] user:investor loss: 1.833 grad: 7.223 pred: 2.074 reward:  7.70 eps:0.17 exploit regret:    - hn:0.703 hc:0.89 | source_marine_technology_news | Analytical Deep Dive | U.S. Coast Guard Launches RAPTOR to Identify M
[Step 217] user:investor loss: 1.658 grad: 6.222 pred: 2.089 reward:  7.87 eps:0.17 exploit regret:    - hn:0.705 hc:0.89 | source_the_financial_express | Analytical Deep Dive | Who is Priyank Sukhija: The owner of Diablo, L
[Step 218] user:low_mood_audit loss: 5.143 grad:15.750 pred: 2.104 reward: 10.00 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | androidauthority.com | Analytical Deep Dive | Google finally sorts out those confusing Play 
[Step 219] user:contrarian_chaos loss: 9.645 grad:25.336 pred: 2.105 reward: 10.00 eps:0.17 exploit regret:    - hn:0.708 hc:0.89 | source_investopedia | Analytical Deep Dive | Fed's Silicon Valley Bank Report Blames Manage
[Step 220] user:low_mood_audit loss: 1.259 grad: 6.389 pred: 2.121 reward:  7.66 eps:0.17 exploit regret: 2.34 hn:0.000 hc:0.00 | polyesterzine.com | Analytical Deep Dive | From Girlbossing to Equal Access: The Feminist
[Step 221] user:sarah loss: 5.130 grad:14.444 pred: 2.122 reward: 10.00 eps:0.17 exploit regret:    - hn:0.710 hc:0.89 | source_uc_san_diego_today | Analytical Deep Dive | Behind the Scenes with National Geographic Exp
[Step 222] user:contrarian_chaos loss: 1.356 grad: 5.863 pred: 2.108 reward:  7.35 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_tasting_table | Analytical Deep Dive | 10 Kitchen Trends On The Way Out In 2026 - Tas
[Step 223] user:ai_doom loss: 4.599 grad:11.491 pred: 2.115 reward: 10.00 eps:0.35 exploit regret:    - hn:0.710 hc:0.89 | source_center_for_democracy_and_technology | Analytical Deep Dive | Adaptation and Innovation: The Civic Space Res
[Step 224] user:sarah loss: 2.159 grad: 8.091 pred: 2.155 reward:  7.07 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | polyesterzine.com | Analytical Deep Dive | From Girlbossing to Equal Access: The Feminist
[Step 225] user:low_mood_audit loss: 4.244 grad:12.386 pred: 2.164 reward: 10.00 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | aol.com | Analytical Deep Dive | 13 Vintage and Antique Trends That Will Be Hug
[Step 226] user:low_mood_audit loss: 4.400 grad: 3.347 pred: 2.271 reward: 10.00 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | sootoday.com | Analytical Deep Dive | Tip from computer repair shop leads to child p
[Step 227] user:ai_doom loss: 1.814 grad: 5.330 pred: 2.168 reward:  7.35 eps:0.35 exploit regret:    - hn:0.718 hc:0.90 | sootoday.com | Analytical Deep Dive | Tip from computer repair shop leads to child p
[Step 228] user:ai_doom loss: 1.812 grad: 5.462 pred: 2.191 reward:  7.74 eps:0.16 exploit regret:    - hn:0.722 hc:0.90 | source_nvidia_newsroom | Analytical Deep Dive | NVIDIA Kicks Off the Next Generation of AI Wit
[Step 229] user:sarah loss: 1.941 grad: 5.952 pred: 2.210 reward:  7.89 eps:0.16 exploit regret:    - hn:0.724 hc:0.90 | sootoday.com | Analytical Deep Dive | Tip from computer repair shop leads to child p
[Step 230] user:gamer loss: 5.522 grad:14.029 pred: 2.278 reward: -4.48 eps:0.35 exploit regret:14.48 hn:0.734 hc:0.91 | parametric-architecture.com | Analytical Deep Dive | TA.TAMU Marks New Era in Generative 3D-Printed
[Step 231] user:low_mood_audit loss: 1.262 grad: 5.553 pred: 2.269 reward:  7.38 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_economic_research_service_gov | Analytical Deep Dive | Poultry Expected To Continue Leading Global Me
[Step 232] user:low_mood_audit loss: 1.225 grad: 5.751 pred: 2.303 reward:  7.98 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_cureus | Analytical Deep Dive | Renal Cell Carcinoma Metastasis to the Small B
[Step 233] user:sarah loss: 6.422 grad:17.331 pred: 2.384 reward: -5.22 eps:0.16 exploit regret:    - hn:0.749 hc:0.92 | source_cambridge_university_press_assessment | Analytical Deep Dive | Commentary on the Appellate Body Report in EC–
